id_konsultasi,tgl_booking,id_klien,nama_klien,domisili_kota,kode_layanan,nama_layanan,kategori_layanan,biaya_jasa,durasi_menit,id_konsultan,nama_konsultan,kanal_sesi,skor_kepuasan_klien_1_5,status_penyelesaian,diskon_promo_voucher
ADV-SRV-2025011,2025-08-11 11:13:00,KLN-802,Bpk. Maryam Pratama,Yogyakarta,SRV-06,Corporate Training Literasi Keuangan Syariah,Corporate Training,7500000,180,KNS-04,"Nur Aini Rahmawati, M.Sc., CFP",Tatap Muka Kantor Advisory,5,Selesai & Laporan Terbit,100000
ADV-SRV-2025012,2025-06-15 16:15:00,KLN-360,Ibu Nisa Suryono,Surabaya,SRV-02,Perencanaan Waris & Wasiat Syariah Komprehensif,Hukum & Faraidh,2500000,120,KNS-03,"M. Reza Al-Faruq, S.E., CFP Syariah",Tatap Muka Kantor Advisory,4,Selesai & Laporan Terbit,250000
ADV-SRV-2025013,2025-03-02 07:23:00,KLN-1273,Keluarga Fatimah Kusuma,Bandung,SRV-01,Konsultasi Keuangan Keluarga Sakinah 1-on-1,Perencanaan Finansial,1200000,90,KNS-05,"Fadhilurrohman, S.Sy., M.H.",Private Mentoring Google Meet,5,Selesai & Laporan Terbit,0
ADV-SRV-2025014,2025-10-22 10:00:00,KLN-1812,Keluarga Ahmad Suryono,Bandung,SRV-06,Corporate Training Literasi Keuangan Syariah,Corporate Training,7500000,180,KNS-04,"Nur Aini Rahmawati, M.Sc., CFP",Tatap Muka Kantor Advisory,5,Jadwal Ulang (Rescheduled),0
ADV-SRV-2025015,2025-02-28 13:05:00,KLN-258,Ibu Zahra Maulana,Bekasi,SRV-05,Konsultasi Restrukturisasi Utang & Solusi Riba,Mediasi & Pemulihan,950000,60,KNS-05,"Fadhilurrohman, S.Sy., M.H.",Zoom Virtual Meeting,5,Jadwal Ulang (Rescheduled),0
ADV-SRV-2025016,2025-03-18 11:05:00,KLN-777,Bpk. Nisa Firmansyah,Bekasi,SRV-05,Konsultasi Restrukturisasi Utang & Solusi Riba,Mediasi & Pemulihan,950000,60,KNS-01,"Dr. H. Salman Faris, CFP Syariah",Private Mentoring Google Meet,4,Selesai & Laporan Terbit,0
ADV-SRV-2025017,2025-11-29 21:50:00,KLN-1343,Bpk. Salma Firmansyah,Bandung,SRV-04,Sertifikasi Sharia Financial Planner (SFP),Edukasi & Workshop,3500000,480,KNS-01,"Dr. H. Salman Faris, CFP Syariah",Zoom Virtual Meeting,4,Selesai & Laporan Terbit,0
ADV-SRV-2025018,2025-01-04 09:10:00,KLN-148,Keluarga Azizah Nugroho,Tangerang Selatan,SRV-05,Konsultasi Restrukturisasi Utang & Solusi Riba,Mediasi & Pemulihan,950000,60,KNS-02,"Hj. Wardah Hanum, M.E.Sy., CFP",Zoom Virtual Meeting,5,Selesai & Laporan Terbit,0
ADV-SRV-2025019,2025-04-23 14:53:00,KLN-1699,Bpk. Laila Kusuma,Bogor,SRV-06,Corporate Training Literasi Keuangan Syariah,Corporate Training,7500000,180,KNS-03,"M. Reza Al-Faruq, S.E., CFP Syariah",Tatap Muka Kantor Advisory,5,Jadwal Ulang (Rescheduled),250000
ADV-SRV-2025020,2025-06-14 08:34:00,KLN-901,Keluarga Muhammad Lestari,Tangerang Selatan,SRV-02,Perencanaan Waris & Wasiat Syariah Komprehensif,Hukum & Faraidh,2500000,120,KNS-02,"Hj. Wardah Hanum, M.E.Sy., CFP",Private Mentoring Google Meet,5,Selesai & Laporan Terbit,0
ADV-SRV-2025021,2025-08-27 18:49:00,KLN-1346,Keluarga Fikri Lestari,Bekasi,SRV-06,Corporate Training Literasi Keuangan Syariah,Corporate Training,7500000,180,KNS-04,"Nur Aini Rahmawati, M.Sc., CFP",Zoom Virtual Meeting,5,Dalam Proses Analisis,0
ADV-SRV-2025022,2025-02-25 20:44:00,KLN-1069,Keluarga Nisa Hakim,Kuala Lumpur (Online),SRV-04,Sertifikasi Sharia Financial Planner (SFP),Edukasi & Workshop,3500000,480,KNS-02,"Hj. Wardah Hanum, M.E.Sy., CFP",Private Mentoring Google Meet,5,Jadwal Ulang (Rescheduled),500000
ADV-SRV-2025023,2025-09-03 21:12:00,KLN-712,Ibu Nurul Ramadhan,Jakarta Selatan,SRV-05,Konsultasi Restrukturisasi Utang & Solusi Riba,Mediasi & Pemulihan,950000,60,KNS-02,"Hj. Wardah Hanum, M.E.Sy., CFP",Zoom Virtual Meeting,5,Jadwal Ulang (Rescheduled),0
ADV-SRV-2025024,2025-07-26 10:56:00,KLN-189,Bpk. Ibrahim Pratama,Depok,SRV-01,Konsultasi Keuangan Keluarga Sakinah 1-on-1,Perencanaan Finansial,1200000,90,KNS-04,"Nur Aini Rahmawati, M.Sc., CFP",Private Mentoring Google Meet,5,Selesai & Laporan Terbit,0
ADV-SRV-2025025,2025-12-02 07:29:00,KLN-1583,Keluarga Ahmad Kusuma,Surabaya,SRV-01,Konsultasi Keuangan Keluarga Sakinah 1-on-1,Perencanaan Finansial,1200000,90,KNS-02,"Hj. Wardah Hanum, M.E.Sy., CFP",Private Mentoring Google Meet,3,Selesai & Laporan Terbit,0
ADV-SRV-2025026,2025-03-24 07:24:00,KLN-1370,Ibu Aisyah Hakim,Jakarta Selatan,SRV-02,Perencanaan Waris & Wasiat Syariah Komprehensif,Hukum & Faraidh,2500000,120,KNS-04,"Nur Aini Rahmawati, M.Sc., CFP",Zoom Virtual Meeting,5,Jadwal Ulang (Rescheduled),0
ADV-SRV-2025027,2025-09-22 11:32:00,KLN-1024,Bpk. Zaid Hakim,Depok,SRV-01,Konsultasi Keuangan Keluarga Sakinah 1-on-1,Perencanaan Finansial,1200000,90,KNS-05,"Fadhilurrohman, S.Sy., M.H.",Private Mentoring Google Meet,5,Jadwal Ulang (Rescheduled),0
ADV-SRV-2025028,2025-02-09 11:15:00,KLN-228,Ibu Ilham Hakim,Surabaya,SRV-01,Konsultasi Keuangan Keluarga Sakinah 1-on-1,Perencanaan Finansial,1200000,90,KNS-05,"Fadhilurrohman, S.Sy., M.H.",Tatap Muka Kantor Advisory,4,Jadwal Ulang (Rescheduled),0
ADV-SRV-2025029,2025-06-05 10:34:00,KLN-535,Bpk. Fatimah Wijaya,Surabaya,SRV-03,Audit Portofolio Investasi & Bebas Riba,Investasi Syariah,1800000,90,KNS-04,"Nur Aini Rahmawati, M.Sc., CFP",Private Mentoring Google Meet,5,Selesai & Laporan Terbit,0
ADV-SRV-2025030,2025-05-31 14:04:00,KLN-1954,Bpk. Dina Hakim,Bekasi,SRV-06,Corporate Training Literasi Keuangan Syariah,Corporate Training,7500000,180,KNS-01,"Dr. H. Salman Faris, CFP Syariah",Private Mentoring Google Meet,5,Selesai & Laporan Terbit,250000
ADV-SRV-2025031,2025-12-08 14:03:00,KLN-476,Ibu Farhan Kusuma,Bandung,SRV-03,Audit Portofolio Investasi & Bebas Riba,Investasi Syariah,1800000,90,KNS-01,"Dr. H. Salman Faris, CFP Syariah",Zoom Virtual Meeting,5,Jadwal Ulang (Rescheduled),100000
ADV-SRV-2025032,2025-05-10 17:32:00,KLN-1230,Keluarga Zaid Firmansyah,Bogor,SRV-03,Audit Portofolio Investasi & Bebas Riba,Investasi Syariah,1800000,90,KNS-03,"M. Reza Al-Faruq, S.E., CFP Syariah",Private Mentoring Google Meet,3,Selesai & Laporan Terbit,0
ADV-SRV-2025033,2025-08-11 14:48:00,KLN-389,Keluarga Nurul Suryono,Depok,SRV-06,Corporate Training Literasi Keuangan Syariah,Corporate Training,7500000,180,KNS-04,"Nur Aini Rahmawati, M.Sc., CFP",Zoom Virtual Meeting,5,Selesai & Laporan Terbit,100000
ADV-SRV-2025034,2025-10-29 11:40:00,KLN-409,Ibu Maryam Santoso,Tangerang Selatan,SRV-04,Sertifikasi Sharia Financial Planner (SFP),Edukasi & Workshop,3500000,480,KNS-05,"Fadhilurrohman, S.Sy., M.H.",Zoom Virtual Meeting,5,Selesai & Laporan Terbit,100000
ADV-SRV-2025035,2025-06-04 17:39:00,KLN-1524,Bpk. Putri Hidayat,Yogyakarta,SRV-06,Corporate Training Literasi Keuangan Syariah,Corporate Training,7500000,180,KNS-02,"Hj. Wardah Hanum, M.E.Sy., CFP",Zoom Virtual Meeting,5,Jadwal Ulang (Rescheduled),250000
ADV-SRV-2025036,2025-07-07 14:53:00,KLN-1370,Bpk. Fatimah Kusuma,Depok,SRV-01,Konsultasi Keuangan Keluarga Sakinah 1-on-1,Perencanaan Finansial,1200000,90,KNS-02,"Hj. Wardah Hanum, M.E.Sy., CFP",Tatap Muka Kantor Advisory,5,Jadwal Ulang (Rescheduled),0
ADV-SRV-2025037,2025-06-10 21:39:00,KLN-1988,Ibu Farhan Ramadhan,Bogor,SRV-04,Sertifikasi Sharia Financial Planner (SFP),Edukasi & Workshop,3500000,480,KNS-05,"Fadhilurrohman, S.Sy., M.H.",Tatap Muka Kantor Advisory,5,Selesai & Laporan Terbit,0
ADV-SRV-2025038,2025-10-27 10:08:00,KLN-526,Bpk. Ilham Hidayat,Bekasi,SRV-05,Konsultasi Restrukturisasi Utang & Solusi Riba,Mediasi & Pemulihan,950000,60,KNS-03,"M. Reza Al-Faruq, S.E., CFP Syariah",Tatap Muka Kantor Advisory,5,Dalam Proses Analisis,0
ADV-SRV-2025039,2025-04-07 09:45:00,KLN-1623,Keluarga Zahra Ramadhan,Surabaya,SRV-02,Perencanaan Waris & Wasiat Syariah Komprehensif,Hukum & Faraidh,2500000,120,KNS-04,"Nur Aini Rahmawati, M.Sc., CFP",Zoom Virtual Meeting,5,Jadwal Ulang (Rescheduled),500000
ADV-SRV-2025040,2025-10-29 13:56:00,KLN-398,Bpk. Ali Utami,Singapura (Online),SRV-06,Corporate Training Literasi Keuangan Syariah,Corporate Training,7500000,180,KNS-02,"Hj. Wardah Hanum, M.E.Sy., CFP",Zoom Virtual Meeting,5,Selesai & Laporan Terbit,0
ADV-SRV-2025041,2025-09-22 19:55:00,KLN-1420,Keluarga Rizky Saputra,Jakarta Selatan,SRV-06,Corporate Training Literasi Keuangan Syariah,Corporate Training,7500000,180,KNS-04,"Nur Aini Rahmawati, M.Sc., CFP",Private Mentoring Google Meet,5,Dalam Proses Analisis,500000
ADV-SRV-2025042,2025-11-05 09:04:00,KLN-152,Ibu Taufiq Hidayat,Bekasi,SRV-05,Konsultasi Restrukturisasi Utang & Solusi Riba,Mediasi & Pemulihan,950000,60,KNS-03,"M. Reza Al-Faruq, S.E., CFP Syariah",Zoom Virtual Meeting,4,Selesai & Laporan Terbit,0
ADV-SRV-2025043,2025-03-06 13:57:00,KLN-1570,Bpk. Zahra Lestari,Bandung,SRV-03,Audit Portofolio Investasi & Bebas Riba,Investasi Syariah,1800000,90,KNS-02,"Hj. Wardah Hanum, M.E.Sy., CFP",Zoom Virtual Meeting,5,Selesai & Laporan Terbit,500000
ADV-SRV-2025044,2025-08-12 21:11:00,KLN-1853,Ibu Farhan Firmansyah,Bogor,SRV-03,Audit Portofolio Investasi & Bebas Riba,Investasi Syariah,1800000,90,KNS-04,"Nur Aini Rahmawati, M.Sc., CFP",Tatap Muka Kantor Advisory,5,Selesai & Laporan Terbit,500000
ADV-SRV-2025045,2025-08-25 15:03:00,KLN-1968,Bpk. Safira Suryono,Bekasi,SRV-03,Audit Portofolio Investasi & Bebas Riba,Investasi Syariah,1800000,90,KNS-01,"Dr. H. Salman Faris, CFP Syariah",Zoom Virtual Meeting,5,Selesai & Laporan Terbit,0
ADV-SRV-2025046,2025-12-25 11:37:00,KLN-1112,Keluarga Zahra Firmansyah,Bekasi,SRV-04,Sertifikasi Sharia Financial Planner (SFP),Edukasi & Workshop,3500000,480,KNS-03,"M. Reza Al-Faruq, S.E., CFP Syariah",Zoom Virtual Meeting,5,Selesai & Laporan Terbit,500000
ADV-SRV-2025047,2025-02-26 11:39:00,KLN-791,Keluarga Hana Hakim,Bogor,SRV-06,Corporate Training Literasi Keuangan Syariah,Corporate Training,7500000,180,KNS-04,"Nur Aini Rahmawati, M.Sc., CFP",Tatap Muka Kantor Advisory,5,Selesai & Laporan Terbit,500000
ADV-SRV-2025048,2025-08-09 08:50:00,KLN-924,Keluarga Ahmad Suryono,Depok,SRV-05,Konsultasi Restrukturisasi Utang & Solusi Riba,Mediasi & Pemulihan,950000,60,KNS-05,"Fadhilurrohman, S.Sy., M.H.",Zoom Virtual Meeting,4,Jadwal Ulang (Rescheduled),0
ADV-SRV-2025049,2025-11-20 13:14:00,KLN-1417,Bpk. Ilham Firmansyah,Singapura (Online),SRV-02,Perencanaan Waris & Wasiat Syariah Komprehensif,Hukum & Faraidh,2500000,120,KNS-02,"Hj. Wardah Hanum, M.E.Sy., CFP",Private Mentoring Google Meet,5,Selesai & Laporan Terbit,250000
ADV-SRV-2025050,2025-06-10 08:54:00,KLN-731,Bpk. Khadijah Hidayat,Depok,SRV-04,Sertifikasi Sharia Financial Planner (SFP),Edukasi & Workshop,3500000,480,KNS-01,"Dr. H. Salman Faris, CFP Syariah",Tatap Muka Kantor Advisory,4,Dalam Proses Analisis,0
ADV-SRV-2025051,2025-09-06 21:15:00,KLN-767,Keluarga Safira Pratama,Tangerang Selatan,SRV-05,Konsultasi Restrukturisasi Utang & Solusi Riba,Mediasi & Pemulihan,950000,60,KNS-04,"Nur Aini Rahmawati, M.Sc., CFP",Zoom Virtual Meeting,4,Dalam Proses Analisis,0
ADV-SRV-2025052,2025-09-24 16:23:00,KLN-1562,Keluarga Salma Utami,Bogor,SRV-05,Konsultasi Restrukturisasi Utang & Solusi Riba,Mediasi & Pemulihan,950000,60,KNS-02,"Hj. Wardah Hanum, M.E.Sy., CFP",Private Mentoring Google Meet,5,Jadwal Ulang (Rescheduled),0
ADV-SRV-2025053,2025-10-26 13:25:00,KLN-1073,Ibu Nurul Hidayat,Kuala Lumpur (Online),SRV-06,Corporate Training Literasi Keuangan Syariah,Corporate Training,7500000,180,KNS-03,"M. Reza Al-Faruq, S.E., CFP Syariah",Zoom Virtual Meeting,5,Selesai & Laporan Terbit,250000
ADV-SRV-2025054,2025-05-15 17:06:00,KLN-282,Ibu Putri Suryono,Kuala Lumpur (Online),SRV-02,Perencanaan Waris & Wasiat Syariah Komprehensif,Hukum & Faraidh,2500000,120,KNS-01,"Dr. H. Salman Faris, CFP Syariah",Zoom Virtual Meeting,2,Selesai & Laporan Terbit,0
ADV-SRV-2025055,2025-12-12 16:36:00,KLN-1956,Ibu Hasan Utami,Surabaya,SRV-01,Konsultasi Keuangan Keluarga Sakinah 1-on-1,Perencanaan Finansial,1200000,90,KNS-05,"Fadhilurrohman, S.Sy., M.H.",Private Mentoring Google Meet,3,Selesai & Laporan Terbit,0
ADV-SRV-2025056,2025-01-07 10:52:00,KLN-1937,Ibu Maryam Maulana,Jakarta Selatan,SRV-05,Konsultasi Restrukturisasi Utang & Solusi Riba,Mediasi & Pemulihan,950000,60,KNS-01,"Dr. H. Salman Faris, CFP Syariah",Tatap Muka Kantor Advisory,4,Selesai & Laporan Terbit,0
ADV-SRV-2025057,2025-05-31 07:54:00,KLN-277,Bpk. Farhan Kusuma,Singapura (Online),SRV-02,Perencanaan Waris & Wasiat Syariah Komprehensif,Hukum & Faraidh,2500000,120,KNS-03,"M. Reza Al-Faruq, S.E., CFP Syariah",Zoom Virtual Meeting,5,Selesai & Laporan Terbit,500000
ADV-SRV-2025058,2025-11-29 18:13:00,KLN-543,Bpk. Rania Ramadhan,Kuala Lumpur (Online),SRV-02,Perencanaan Waris & Wasiat Syariah Komprehensif,Hukum & Faraidh,2500000,120,KNS-04,"Nur Aini Rahmawati, M.Sc., CFP",Zoom Virtual Meeting,5,Jadwal Ulang (Rescheduled),0
ADV-SRV-2025059,2025-03-14 21:10:00,KLN-223,Keluarga Safira Suryono,Yogyakarta,SRV-01,Konsultasi Keuangan Keluarga Sakinah 1-on-1,Perencanaan Finansial,1200000,90,KNS-04,"Nur Aini Rahmawati, M.Sc., CFP",Tatap Muka Kantor Advisory,4,Selesai & Laporan Terbit,0
ADV-SRV-2025060,2025-02-07 15:09:00,KLN-1824,Ibu Fatimah Nugroho,Depok,SRV-04,Sertifikasi Sharia Financial Planner (SFP),Edukasi & Workshop,3500000,480,KNS-01,"Dr. H. Salman Faris, CFP Syariah",Tatap Muka Kantor Advisory,4,Selesai & Laporan Terbit,0
ADV-SRV-2025061,2025-03-18 19:49:00,KLN-772,Ibu Taufiq Suryono,Singapura (Online),SRV-02,Perencanaan Waris & Wasiat Syariah Komprehensif,Hukum & Faraidh,2500000,120,KNS-04,"Nur Aini Rahmawati, M.Sc., CFP",Tatap Muka Kantor Advisory,5,Selesai & Laporan Terbit,0
ADV-SRV-2025062,2025-01-17 07:38:00,KLN-1084,Keluarga Harun Hakim,Bogor,SRV-02,Perencanaan Waris & Wasiat Syariah Komprehensif,Hukum & Faraidh,2500000,120,KNS-02,"Hj. Wardah Hanum, M.E.Sy., CFP",Private Mentoring Google Meet,5,Selesai & Laporan Terbit,0
ADV-SRV-2025063,2025-10-31 07:21:00,KLN-544,Keluarga Hana Hakim,Bandung,SRV-05,Konsultasi Restrukturisasi Utang & Solusi Riba,Mediasi & Pemulihan,950000,60,KNS-05,"Fadhilurrohman, S.Sy., M.H.",Zoom Virtual Meeting,4,Selesai & Laporan Terbit,0
ADV-SRV-2025064,2025-08-26 12:11:00,KLN-745,Ibu Khadijah Wijaya,Kuala Lumpur (Online),SRV-06,Corporate Training Literasi Keuangan Syariah,Corporate Training,7500000,180,KNS-03,"M. Reza Al-Faruq, S.E., CFP Syariah",Zoom Virtual Meeting,5,Selesai & Laporan Terbit,500000
ADV-SRV-2025065,2025-05-02 19:58:00,KLN-1191,Bpk. Farhan Saputra,Bekasi,SRV-06,Corporate Training Literasi Keuangan Syariah,Corporate Training,7500000,180,KNS-03,"M. Reza Al-Faruq, S.E., CFP Syariah",Tatap Muka Kantor Advisory,4,Jadwal Ulang (Rescheduled),500000
ADV-SRV-2025066,2025-04-05 20:24:00,KLN-1411,Ibu Umar Kusuma,Depok,SRV-06,Corporate Training Literasi Keuangan Syariah,Corporate Training,7500000,180,KNS-03,"M. Reza Al-Faruq, S.E., CFP Syariah",Tatap Muka Kantor Advisory,5,Selesai & Laporan Terbit,500000
ADV-SRV-2025067,2025-02-19 10:05:00,KLN-254,Ibu Ahmad Utami,Bandung,SRV-05,Konsultasi Restrukturisasi Utang & Solusi Riba,Mediasi & Pemulihan,950000,60,KNS-03,"M. Reza Al-Faruq, S.E., CFP Syariah",Zoom Virtual Meeting,4,Dalam Proses Analisis,0
ADV-SRV-2025068,2025-04-06 15:21:00,KLN-1081,Keluarga Aisyah Utami,Jakarta Selatan,SRV-03,Audit Portofolio Investasi & Bebas Riba,Investasi Syariah,1800000,90,KNS-01,"Dr. H. Salman Faris, CFP Syariah",Zoom Virtual Meeting,2,Selesai & Laporan Terbit,0
ADV-SRV-2025069,2025-05-27 15:20:00,KLN-1437,Ibu Laila Santoso,Bandung,SRV-02,Perencanaan Waris & Wasiat Syariah Komprehensif,Hukum & Faraidh,2500000,120,KNS-03,"M. Reza Al-Faruq, S.E., CFP Syariah",Zoom Virtual Meeting,5,Selesai & Laporan Terbit,500000
ADV-SRV-2025070,2025-09-12 11:52:00,KLN-1549,Bpk. Zahra Utami,Kuala Lumpur (Online),SRV-05,Konsultasi Restrukturisasi Utang & Solusi Riba,Mediasi & Pemulihan,950000,60,KNS-01,"Dr. H. Salman Faris, CFP Syariah",Zoom Virtual Meeting,4,Selesai & Laporan Terbit,0
ADV-SRV-2025071,2025-04-06 14:50:00,KLN-891,Keluarga Farhan Maulana,Yogyakarta,SRV-02,Perencanaan Waris & Wasiat Syariah Komprehensif,Hukum & Faraidh,2500000,120,KNS-03,"M. Reza Al-Faruq, S.E., CFP Syariah",Tatap Muka Kantor Advisory,3,Selesai & Laporan Terbit,250000
ADV-SRV-2025072,2025-09-24 15:40:00,KLN-708,Keluarga Zahra Utami,Bogor,SRV-02,Perencanaan Waris & Wasiat Syariah Komprehensif,Hukum & Faraidh,2500000,120,KNS-05,"Fadhilurrohman, S.Sy., M.H.",Zoom Virtual Meeting,5,Selesai & Laporan Terbit,100000
ADV-SRV-2025073,2025-06-29 08:01:00,KLN-1445,Keluarga Umar Firmansyah,Bandung,SRV-06,Corporate Training Literasi Keuangan Syariah,Corporate Training,7500000,180,KNS-03,"M. Reza Al-Faruq, S.E., CFP Syariah",Private Mentoring Google Meet,5,Selesai & Laporan Terbit,500000
ADV-SRV-2025074,2025-05-06 13:43:00,KLN-546,Ibu Maryam Firmansyah,Bogor,SRV-06,Corporate Training Literasi Keuangan Syariah,Corporate Training,7500000,180,KNS-02,"Hj. Wardah Hanum, M.E.Sy., CFP",Zoom Virtual Meeting,5,Selesai & Laporan Terbit,0
ADV-SRV-2025075,2025-12-13 11:23:00,KLN-219,Bpk. Rania Suryono,Bogor,SRV-01,Konsultasi Keuangan Keluarga Sakinah 1-on-1,Perencanaan Finansial,1200000,90,KNS-05,"Fadhilurrohman, S.Sy., M.H.",Zoom Virtual Meeting,5,Jadwal Ulang (Rescheduled),0
ADV-SRV-2025076,2025-02-03 21:44:00,KLN-1307,Bpk. Farhan Pratama,Bogor,SRV-06,Corporate Training Literasi Keuangan Syariah,Corporate Training,7500000,180,KNS-02,"Hj. Wardah Hanum, M.E.Sy., CFP",Tatap Muka Kantor Advisory,4,Jadwal Ulang (Rescheduled),0
ADV-SRV-2025077,2025-08-28 11:55:00,KLN-1902,Bpk. Fatimah Kusuma,Surabaya,SRV-01,Konsultasi Keuangan Keluarga Sakinah 1-on-1,Perencanaan Finansial,1200000,90,KNS-02,"Hj. Wardah Hanum, M.E.Sy., CFP",Zoom Virtual Meeting,5,Selesai & Laporan Terbit,0
ADV-SRV-2025078,2025-04-17 07:10:00,KLN-980,Keluarga Aisyah Lestari,Depok,SRV-02,Perencanaan Waris & Wasiat Syariah Komprehensif,Hukum & Faraidh,2500000,120,KNS-01,"Dr. H. Salman Faris, CFP Syariah",Zoom Virtual Meeting,3,Selesai & Laporan Terbit,0
ADV-SRV-2025079,2025-11-01 13:42:00,KLN-1538,Keluarga Dina Wijaya,Surabaya,SRV-03,Audit Portofolio Investasi & Bebas Riba,Investasi Syariah,1800000,90,KNS-01,"Dr. H. Salman Faris, CFP Syariah",Zoom Virtual Meeting,5,Dalam Proses Analisis,0
ADV-SRV-2025080,2025-06-06 15:47:00,KLN-123,Ibu Laila Utami,Bandung,SRV-01,Konsultasi Keuangan Keluarga Sakinah 1-on-1,Perencanaan Finansial,1200000,90,KNS-05,"Fadhilurrohman, S.Sy., M.H.",Zoom Virtual Meeting,4,Dalam Proses Analisis,0
ADV-SRV-2025081,2025-08-19 19:03:00,KLN-537,Bpk. Putri Suryono,Tangerang Selatan,SRV-02,Perencanaan Waris & Wasiat Syariah Komprehensif,Hukum & Faraidh,2500000,120,KNS-02,"Hj. Wardah Hanum, M.E.Sy., CFP",Tatap Muka Kantor Advisory,5,Dalam Proses Analisis,0
ADV-SRV-2025082,2025-05-04 18:35:00,KLN-493,Ibu Nurul Wijaya,Tangerang Selatan,SRV-04,Sertifikasi Sharia Financial Planner (SFP),Edukasi & Workshop,3500000,480,KNS-05,"Fadhilurrohman, S.Sy., M.H.",Zoom Virtual Meeting,4,Dalam Proses Analisis,0
ADV-SRV-2025083,2025-07-28 14:02:00,KLN-1764,Ibu Laila Ramadhan,Depok,SRV-05,Konsultasi Restrukturisasi Utang & Solusi Riba,Mediasi & Pemulihan,950000,60,KNS-04,"Nur Aini Rahmawati, M.Sc., CFP",Zoom Virtual Meeting,5,Selesai & Laporan Terbit,0
ADV-SRV-2025084,2025-11-02 15:56:00,KLN-1607,Bpk. Rizky Maulana,Yogyakarta,SRV-04,Sertifikasi Sharia Financial Planner (SFP),Edukasi & Workshop,3500000,480,KNS-05,"Fadhilurrohman, S.Sy., M.H.",Zoom Virtual Meeting,4,Selesai & Laporan Terbit,0
ADV-SRV-2025085,2025-08-10 18:52:00,KLN-364,Ibu Aisyah Suryono,Singapura (Online),SRV-03,Audit Portofolio Investasi & Bebas Riba,Investasi Syariah,1800000,90,KNS-05,"Fadhilurrohman, S.Sy., M.H.",Zoom Virtual Meeting,5,Selesai & Laporan Terbit,500000
