id_bayar,nis_santri,nama_santri,tingkat,jurusan,kamar_asrama,tgl_bayar,kode_pos_biaya,nama_pos_biaya,nominal_tagihan,nominal_dibayar,status_bayar,metode_bayar,nama_wali,kategori_beasiswa
BYR-PSN-20250014,NIS-23170,Umar Wijaya,SMK,DKV,Gedung Abu Bakar Ash-Shiddiq Kamar 180,2025-10-09 12:25:00,EKSKUL,Ekstrakurikuler Robotik & Panahan,150000,150000,Lunas,Virtual Account Bank Syariah,H. Zaid Nugroho,Reguler (Mandiri)
BYR-PSN-20250015,NIS-24207,Farhan Hakim,SMK,TKJ,Gedung Ali bin Abi Thalib Kamar 258,2025-08-10 07:19:00,SPP-BULAN,SPP Pendidikan & Asrama Bulanan,2750000,2750000,Lunas,Transfer Bank Muamalat,H. Ali Suryono,Reguler (Mandiri)
BYR-PSN-20250016,NIS-24564,Farhan Maulana,Persiapan,MAT,Gedung Abu Bakar Ash-Shiddiq Kamar 289,2025-12-25 17:43:00,SARPRAS,Pengembangan Sarana Lab Komputer & Server,850000,850000,Lunas,QRIS Pendidikan,H. Fikri Maulana,Reguler (Mandiri)
BYR-PSN-20250017,NIS-25341,Harun Hidayat,SMK,DKV,Gedung Abu Bakar Ash-Shiddiq Kamar 285,2025-12-01 09:16:00,SARPRAS,Pengembangan Sarana Lab Komputer & Server,850000,850000,Lunas,Transfer Bank Muamalat,H. Ahmad Utami,Reguler (Mandiri)
BYR-PSN-20250018,NIS-24478,Zaid Kusuma,SMK,DKV,Gedung Umar bin Khattab Kamar 227,2025-11-14 13:22:00,LAUNDRY,Jasa Laundry Seragam Santri,200000,200000,Lunas,Virtual Account BSI,H. Ahmad Pratama,Reguler (Mandiri)
BYR-PSN-20250019,NIS-25285,Hasan Saputra,Persiapan,MAT,Gedung Abu Bakar Ash-Shiddiq Kamar 199,2025-08-05 08:50:00,SPP-BULAN,SPP Pendidikan & Asrama Bulanan,2750000,1375000,Lunas (Potongan 50%),Virtual Account BSI,H. Rafi Firmansyah,Beasiswa Prestasi 50%
BYR-PSN-20250020,NIS-24004,Ali Santoso,SMK,RPL,Gedung Abu Bakar Ash-Shiddiq Kamar 151,2025-05-21 18:29:00,SARPRAS,Pengembangan Sarana Lab Komputer & Server,850000,850000,Lunas,Virtual Account BSI,H. Ibrahim Lestari,Reguler (Mandiri)
BYR-PSN-20250021,NIS-25303,Ilham Utami,SMP,SMP-IT,Gedung Ali bin Abi Thalib Kamar 243,2025-11-04 12:56:00,EKSKUL,Ekstrakurikuler Robotik & Panahan,150000,150000,Lunas,Virtual Account Bank Syariah,H. Umar Santoso,Reguler (Mandiri)
BYR-PSN-20250022,NIS-25448,Ibrahim Ramadhan,SMK,TKJ,Gedung Abu Bakar Ash-Shiddiq Kamar 131,2025-08-04 15:22:00,KATERING,Katering Makan 3x Sehari & Nutrisi,1250000,1250000,Lunas,Transfer Bank Muamalat,H. Umar Hidayat,Reguler (Mandiri)
BYR-PSN-20250023,NIS-23835,Danang Hidayat,Persiapan,MAT,Gedung Ali bin Abi Thalib Kamar 308,2025-06-08 20:19:00,LAUNDRY,Jasa Laundry Seragam Santri,200000,200000,Lunas,QRIS Pendidikan,H. Fikri Hidayat,Reguler (Mandiri)
BYR-PSN-20250024,NIS-23660,Ahmad Nugroho,SMK,TKJ,Gedung Ali bin Abi Thalib Kamar 307,2025-08-30 09:25:00,INFAQ-JUMAT,Infaq Sedekah Jumat Santri,50000,50000,Lunas,Tunai Bendahara,H. Rafi Saputra,Reguler (Mandiri)
BYR-PSN-20250025,NIS-24437,Zaid Pratama,SMK,RPL,Gedung Utsman bin Affan Kamar 223,2025-11-02 09:06:00,KATERING,Katering Makan 3x Sehari & Nutrisi,1250000,1250000,Lunas,Tunai Bendahara,H. Farhan Maulana,Reguler (Mandiri)
BYR-PSN-20250026,NIS-24986,Ahmad Santoso,Persiapan,MAT,Gedung Utsman bin Affan Kamar 207,2025-12-15 21:31:00,INFAQ-JUMAT,Infaq Sedekah Jumat Santri,50000,25000,Lunas (Potongan 50%),Tunai Bendahara,H. Ibrahim Pratama,Beasiswa Prestasi 50%
BYR-PSN-20250027,NIS-24661,Ilham Hakim,SMK,TKJ,Gedung Umar bin Khattab Kamar 146,2025-12-31 07:56:00,LAUNDRY,Jasa Laundry Seragam Santri,200000,200000,Lunas,Virtual Account BSI,H. Muhammad Lestari,Reguler (Mandiri)
BYR-PSN-20250028,NIS-24033,Zaid Saputra,SMP,SMP-IT,Gedung Utsman bin Affan Kamar 261,2025-12-24 15:54:00,EKSKUL,Ekstrakurikuler Robotik & Panahan,150000,150000,Lunas,Virtual Account BSI,H. Ibrahim Pratama,Reguler (Mandiri)
BYR-PSN-20250029,NIS-24496,Ibrahim Firmansyah,SMP,SMP-IT,Gedung Thalhah bin Ubaidillah Kamar 142,2025-07-14 16:19:00,SERTIFIKASI,Ujian Sertifikasi Kompetensi Internasional,1500000,1500000,Lunas,Virtual Account BSI,H. Ahmad Kusuma,Reguler (Mandiri)
BYR-PSN-20250030,NIS-24178,Farhan Pratama,Persiapan,MAT,Gedung Ali bin Abi Thalib Kamar 195,2025-12-02 13:39:00,INFAQ-JUMAT,Infaq Sedekah Jumat Santri,50000,50000,Lunas,Virtual Account Bank Syariah,H. Harun Hakim,Reguler (Mandiri)
BYR-PSN-20250031,NIS-24067,Rafi Hidayat,SMK,TKJ,Gedung Abu Bakar Ash-Shiddiq Kamar 130,2025-12-27 20:31:00,EKSKUL,Ekstrakurikuler Robotik & Panahan,150000,0,Lunas Beasiswa Penuh,QRIS Pendidikan,H. Taufiq Suryono,Beasiswa Yatim Dhuafa 100%
BYR-PSN-20250032,NIS-24697,Ali Suryono,SMK,RPL,Gedung Thalhah bin Ubaidillah Kamar 266,2025-10-29 15:43:00,EKSKUL,Ekstrakurikuler Robotik & Panahan,150000,150000,Lunas,Transfer Bank Muamalat,H. Fikri Firmansyah,Reguler (Mandiri)
BYR-PSN-20250033,NIS-25729,Umar Firmansyah,Persiapan,MAT,Gedung Utsman bin Affan Kamar 268,2025-08-07 10:55:00,LAUNDRY,Jasa Laundry Seragam Santri,200000,200000,Lunas,Virtual Account BSI,H. Ali Hakim,Reguler (Mandiri)
BYR-PSN-20250034,NIS-23835,Ilham Ramadhan,Persiapan,MAT,Gedung Umar bin Khattab Kamar 181,2025-11-24 08:10:00,KATERING,Katering Makan 3x Sehari & Nutrisi,1250000,625000,Lunas (Potongan 50%),Tunai Bendahara,H. Umar Hakim,Beasiswa Prestasi 50%
BYR-PSN-20250035,NIS-24297,Ibrahim Ramadhan,SMK,RPL,Gedung Utsman bin Affan Kamar 202,2025-07-16 10:39:00,KATERING,Katering Makan 3x Sehari & Nutrisi,1250000,1250000,Lunas,Virtual Account BSI,H. Rizky Maulana,Reguler (Mandiri)
BYR-PSN-20250036,NIS-23556,Ibrahim Santoso,SMK,TKJ,Gedung Utsman bin Affan Kamar 285,2025-07-05 21:55:00,LAUNDRY,Jasa Laundry Seragam Santri,200000,200000,Lunas,QRIS Pendidikan,H. Ali Kusuma,Reguler (Mandiri)
BYR-PSN-20250037,NIS-23421,Harun Santoso,SMK,RPL,Gedung Ali bin Abi Thalib Kamar 217,2025-09-27 15:43:00,SPP-BULAN,SPP Pendidikan & Asrama Bulanan,2750000,2062500,Lunas (Potongan 25%),Tunai Bendahara,H. Taufiq Wijaya,Keringanan Khusus 25%
BYR-PSN-20250038,NIS-23403,Harun Ramadhan,SMK,RPL,Gedung Thalhah bin Ubaidillah Kamar 193,2025-05-02 07:20:00,LAUNDRY,Jasa Laundry Seragam Santri,200000,0,Lunas Beasiswa Penuh,QRIS Pendidikan,H. Fikri Hakim,Beasiswa Yatim Dhuafa 100%
BYR-PSN-20250039,NIS-24981,Ali Saputra,SMK,DKV,Gedung Umar bin Khattab Kamar 254,2025-01-21 18:01:00,INFAQ-JUMAT,Infaq Sedekah Jumat Santri,50000,50000,Lunas,Tunai Bendahara,H. Ilham Kusuma,Reguler (Mandiri)
BYR-PSN-20250040,NIS-24156,Ali Hidayat,SMK,DKV,Gedung Utsman bin Affan Kamar 269,2025-11-01 13:04:00,SARPRAS,Pengembangan Sarana Lab Komputer & Server,850000,850000,Lunas,Virtual Account BSI,H. Fikri Santoso,Reguler (Mandiri)
BYR-PSN-20250041,NIS-25956,Harun Kusuma,Persiapan,MAT,Gedung Abu Bakar Ash-Shiddiq Kamar 145,2025-07-29 14:47:00,EKSKUL,Ekstrakurikuler Robotik & Panahan,150000,150000,Lunas,QRIS Pendidikan,H. Farhan Kusuma,Reguler (Mandiri)
BYR-PSN-20250042,NIS-24901,Farhan Nugroho,SMP,SMP-IT,Gedung Utsman bin Affan Kamar 260,2025-02-20 13:24:00,INFAQ-JUMAT,Infaq Sedekah Jumat Santri,50000,50000,Lunas,Transfer Bank Muamalat,H. Taufiq Nugroho,Reguler (Mandiri)
BYR-PSN-20250043,NIS-24187,Ali Wijaya,SMK,RPL,Gedung Umar bin Khattab Kamar 179,2025-10-16 14:05:00,SPP-BULAN,SPP Pendidikan & Asrama Bulanan,2750000,0,Lunas Beasiswa Penuh,Virtual Account BSI,H. Muhammad Ramadhan,Beasiswa Yatim Dhuafa 100%
BYR-PSN-20250044,NIS-24211,Fikri Kusuma,SMK,TKJ,Gedung Thalhah bin Ubaidillah Kamar 210,2025-10-10 12:38:00,SPP-BULAN,SPP Pendidikan & Asrama Bulanan,2750000,2750000,Lunas,Tunai Bendahara,H. Hasan Lestari,Reguler (Mandiri)
BYR-PSN-20250045,NIS-23302,Fikri Maulana,SMP,SMP-IT,Gedung Abu Bakar Ash-Shiddiq Kamar 213,2025-02-16 11:24:00,KATERING,Katering Makan 3x Sehari & Nutrisi,1250000,1250000,Lunas,Virtual Account BSI,H. Ibrahim Firmansyah,Reguler (Mandiri)
BYR-PSN-20250046,NIS-25094,Ahmad Nugroho,SMP,SMP-IT,Gedung Umar bin Khattab Kamar 202,2025-07-20 20:47:00,INFAQ-JUMAT,Infaq Sedekah Jumat Santri,50000,0,Lunas Beasiswa Penuh,QRIS Pendidikan,H. Zaid Nugroho,Beasiswa Yatim Dhuafa 100%
BYR-PSN-20250047,NIS-24496,Harun Lestari,SMK,DKV,Gedung Umar bin Khattab Kamar 164,2025-11-03 15:54:00,SARPRAS,Pengembangan Sarana Lab Komputer & Server,850000,850000,Lunas,Transfer Bank Muamalat,H. Ilham Wijaya,Reguler (Mandiri)
BYR-PSN-20250048,NIS-23370,Ahmad Kusuma,SMK,TKJ,Gedung Ali bin Abi Thalib Kamar 270,2025-08-12 07:39:00,INFAQ-JUMAT,Infaq Sedekah Jumat Santri,50000,50000,Lunas,Virtual Account Bank Syariah,H. Hasan Wijaya,Reguler (Mandiri)
BYR-PSN-20250049,NIS-25748,Hasan Suryono,Persiapan,MAT,Gedung Utsman bin Affan Kamar 151,2025-05-11 09:03:00,LAUNDRY,Jasa Laundry Seragam Santri,200000,200000,Lunas,QRIS Pendidikan,H. Ilham Firmansyah,Reguler (Mandiri)
BYR-PSN-20250050,NIS-24895,Farhan Saputra,SMK,RPL,Gedung Thalhah bin Ubaidillah Kamar 237,2025-07-31 13:28:00,KATERING,Katering Makan 3x Sehari & Nutrisi,1250000,625000,Tunggakan Sebagian,QRIS Pendidikan,H. Rizky Wijaya,Reguler (Mandiri)
BYR-PSN-20250051,NIS-23039,Ahmad Lestari,SMK,DKV,Gedung Utsman bin Affan Kamar 202,2025-08-11 13:22:00,SARPRAS,Pengembangan Sarana Lab Komputer & Server,850000,850000,Lunas,Tunai Bendahara,H. Taufiq Utami,Reguler (Mandiri)
BYR-PSN-20250052,NIS-24911,Hasan Hidayat,SMK,DKV,Gedung Abu Bakar Ash-Shiddiq Kamar 255,2025-09-18 18:29:00,SPP-BULAN,SPP Pendidikan & Asrama Bulanan,2750000,2750000,Lunas,Transfer Bank Muamalat,H. Zaid Kusuma,Reguler (Mandiri)
BYR-PSN-20250053,NIS-24948,Farhan Firmansyah,SMK,RPL,Gedung Thalhah bin Ubaidillah Kamar 234,2025-02-12 19:11:00,EKSKUL,Ekstrakurikuler Robotik & Panahan,150000,150000,Lunas,QRIS Pendidikan,H. Rafi Maulana,Reguler (Mandiri)
BYR-PSN-20250054,NIS-25390,Danang Utami,SMK,TKJ,Gedung Thalhah bin Ubaidillah Kamar 150,2025-07-18 18:01:00,KATERING,Katering Makan 3x Sehari & Nutrisi,1250000,937500,Lunas (Potongan 25%),Transfer Bank Muamalat,H. Harun Ramadhan,Keringanan Khusus 25%
BYR-PSN-20250055,NIS-25999,Rizky Firmansyah,SMK,TKJ,Gedung Umar bin Khattab Kamar 109,2025-09-30 12:39:00,LAUNDRY,Jasa Laundry Seragam Santri,200000,100000,Tunggakan Sebagian,Tunai Bendahara,H. Fikri Hakim,Reguler (Mandiri)
BYR-PSN-20250056,NIS-23454,Ahmad Saputra,SMP,SMP-IT,Gedung Umar bin Khattab Kamar 275,2025-07-01 21:50:00,SPP-BULAN,SPP Pendidikan & Asrama Bulanan,2750000,2750000,Lunas,Virtual Account Bank Syariah,H. Harun Ramadhan,Reguler (Mandiri)
BYR-PSN-20250057,NIS-24318,Ilham Firmansyah,SMK,RPL,Gedung Thalhah bin Ubaidillah Kamar 229,2025-09-21 21:06:00,KATERING,Katering Makan 3x Sehari & Nutrisi,1250000,1250000,Lunas,QRIS Pendidikan,H. Farhan Suryono,Reguler (Mandiri)
BYR-PSN-20250058,NIS-25981,Zaid Lestari,SMP,SMP-IT,Gedung Umar bin Khattab Kamar 271,2025-10-31 10:58:00,INFAQ-JUMAT,Infaq Sedekah Jumat Santri,50000,50000,Lunas,Virtual Account Bank Syariah,H. Ahmad Hidayat,Reguler (Mandiri)
BYR-PSN-20250059,NIS-25345,Hasan Ramadhan,SMK,TKJ,Gedung Ali bin Abi Thalib Kamar 216,2025-11-12 16:25:00,LAUNDRY,Jasa Laundry Seragam Santri,200000,100000,Lunas (Potongan 50%),Virtual Account Bank Syariah,H. Harun Wijaya,Beasiswa Prestasi 50%
BYR-PSN-20250060,NIS-23329,Hasan Hakim,SMK,RPL,Gedung Thalhah bin Ubaidillah Kamar 291,2025-12-31 13:18:00,KATERING,Katering Makan 3x Sehari & Nutrisi,1250000,937500,Lunas (Potongan 25%),QRIS Pendidikan,H. Muhammad Nugroho,Keringanan Khusus 25%
BYR-PSN-20250061,NIS-24035,Farhan Suryono,SMK,DKV,Gedung Utsman bin Affan Kamar 172,2025-12-27 08:17:00,SPP-BULAN,SPP Pendidikan & Asrama Bulanan,2750000,2750000,Lunas,Tunai Bendahara,H. Fikri Maulana,Reguler (Mandiri)
BYR-PSN-20250062,NIS-23441,Ilham Lestari,Persiapan,MAT,Gedung Thalhah bin Ubaidillah Kamar 282,2025-07-16 15:50:00,KATERING,Katering Makan 3x Sehari & Nutrisi,1250000,0,Lunas Beasiswa Penuh,Transfer Bank Muamalat,H. Ibrahim Suryono,Beasiswa Yatim Dhuafa 100%
BYR-PSN-20250063,NIS-25886,Rizky Nugroho,SMK,TKJ,Gedung Thalhah bin Ubaidillah Kamar 104,2025-04-19 08:18:00,EKSKUL,Ekstrakurikuler Robotik & Panahan,150000,150000,Lunas,Virtual Account BSI,H. Fikri Pratama,Reguler (Mandiri)
BYR-PSN-20250064,NIS-25850,Harun Nugroho,SMP,SMP-IT,Gedung Ali bin Abi Thalib Kamar 153,2025-12-05 16:34:00,SERTIFIKASI,Ujian Sertifikasi Kompetensi Internasional,1500000,750000,Lunas (Potongan 50%),Virtual Account BSI,H. Umar Santoso,Beasiswa Prestasi 50%
BYR-PSN-20250065,NIS-25043,Fikri Kusuma,SMP,SMP-IT,Gedung Umar bin Khattab Kamar 226,2025-12-04 21:28:00,KATERING,Katering Makan 3x Sehari & Nutrisi,1250000,1250000,Lunas,Tunai Bendahara,H. Ali Maulana,Reguler (Mandiri)
BYR-PSN-20250066,NIS-23645,Zaid Suryono,Persiapan,MAT,Gedung Abu Bakar Ash-Shiddiq Kamar 112,2025-09-04 13:38:00,SERTIFIKASI,Ujian Sertifikasi Kompetensi Internasional,1500000,1500000,Lunas,Tunai Bendahara,H. Fikri Hakim,Reguler (Mandiri)
BYR-PSN-20250067,NIS-25654,Rafi Pratama,SMK,TKJ,Gedung Abu Bakar Ash-Shiddiq Kamar 231,2025-03-05 10:30:00,EKSKUL,Ekstrakurikuler Robotik & Panahan,150000,150000,Lunas,Transfer Bank Muamalat,H. Ali Hidayat,Reguler (Mandiri)
BYR-PSN-20250068,NIS-25122,Rizky Lestari,SMK,DKV,Gedung Ali bin Abi Thalib Kamar 125,2025-04-08 09:35:00,KATERING,Katering Makan 3x Sehari & Nutrisi,1250000,1250000,Lunas,Virtual Account Bank Syariah,H. Ilham Kusuma,Reguler (Mandiri)
BYR-PSN-20250069,NIS-24477,Ali Saputra,SMP,SMP-IT,Gedung Thalhah bin Ubaidillah Kamar 221,2025-10-26 20:32:00,SPP-BULAN,SPP Pendidikan & Asrama Bulanan,2750000,1375000,Tunggakan Sebagian,Transfer Bank Muamalat,H. Farhan Lestari,Reguler (Mandiri)
BYR-PSN-20250070,NIS-24793,Zaid Hakim,Persiapan,MAT,Gedung Utsman bin Affan Kamar 300,2025-08-24 20:16:00,INFAQ-JUMAT,Infaq Sedekah Jumat Santri,50000,50000,Lunas,QRIS Pendidikan,H. Fikri Hidayat,Reguler (Mandiri)
BYR-PSN-20250071,NIS-24368,Fikri Ramadhan,SMK,DKV,Gedung Ali bin Abi Thalib Kamar 138,2025-03-21 19:10:00,SARPRAS,Pengembangan Sarana Lab Komputer & Server,850000,850000,Lunas,Virtual Account Bank Syariah,H. Danang Santoso,Reguler (Mandiri)
BYR-PSN-20250072,NIS-25553,Ilham Nugroho,SMP,SMP-IT,Gedung Utsman bin Affan Kamar 239,2025-09-24 18:01:00,KATERING,Katering Makan 3x Sehari & Nutrisi,1250000,1250000,Lunas,Tunai Bendahara,H. Zaid Hidayat,Reguler (Mandiri)
BYR-PSN-20250073,NIS-25760,Muhammad Nugroho,Persiapan,MAT,Gedung Ali bin Abi Thalib Kamar 210,2025-05-06 14:18:00,KATERING,Katering Makan 3x Sehari & Nutrisi,1250000,0,Lunas Beasiswa Penuh,Virtual Account BSI,H. Rafi Hidayat,Beasiswa Yatim Dhuafa 100%
BYR-PSN-20250074,NIS-24441,Harun Saputra,SMK,RPL,Gedung Utsman bin Affan Kamar 297,2025-04-24 17:28:00,SARPRAS,Pengembangan Sarana Lab Komputer & Server,850000,850000,Lunas,Virtual Account Bank Syariah,H. Umar Utami,Reguler (Mandiri)
BYR-PSN-20250075,NIS-24988,Muhammad Hakim,SMK,DKV,Gedung Abu Bakar Ash-Shiddiq Kamar 233,2025-07-04 12:55:00,LAUNDRY,Jasa Laundry Seragam Santri,200000,100000,Lunas (Potongan 50%),Tunai Bendahara,H. Ahmad Suryono,Beasiswa Prestasi 50%
BYR-PSN-20250076,NIS-23246,Ibrahim Hakim,SMK,DKV,Gedung Utsman bin Affan Kamar 274,2025-01-01 08:56:00,SERTIFIKASI,Ujian Sertifikasi Kompetensi Internasional,1500000,1500000,Lunas,Virtual Account Bank Syariah,H. Rizky Firmansyah,Reguler (Mandiri)
BYR-PSN-20250077,NIS-24407,Muhammad Wijaya,Persiapan,MAT,Gedung Utsman bin Affan Kamar 215,2025-05-29 11:37:00,EKSKUL,Ekstrakurikuler Robotik & Panahan,150000,150000,Lunas,Tunai Bendahara,H. Umar Maulana,Reguler (Mandiri)
BYR-PSN-20250078,NIS-24509,Danang Ramadhan,SMK,DKV,Gedung Umar bin Khattab Kamar 217,2025-10-08 15:40:00,LAUNDRY,Jasa Laundry Seragam Santri,200000,200000,Lunas,Virtual Account Bank Syariah,H. Ali Nugroho,Reguler (Mandiri)
BYR-PSN-20250079,NIS-25573,Harun Wijaya,Persiapan,MAT,Gedung Ali bin Abi Thalib Kamar 187,2025-02-07 07:47:00,SERTIFIKASI,Ujian Sertifikasi Kompetensi Internasional,1500000,750000,Tunggakan Sebagian,Transfer Bank Muamalat,H. Rafi Ramadhan,Reguler (Mandiri)
BYR-PSN-20250080,NIS-25157,Rizky Lestari,Persiapan,MAT,Gedung Umar bin Khattab Kamar 291,2025-09-02 20:07:00,EKSKUL,Ekstrakurikuler Robotik & Panahan,150000,150000,Lunas,Virtual Account BSI,H. Farhan Firmansyah,Reguler (Mandiri)
BYR-PSN-20250081,NIS-25508,Ibrahim Wijaya,SMK,DKV,Gedung Utsman bin Affan Kamar 227,2025-10-19 19:56:00,SARPRAS,Pengembangan Sarana Lab Komputer & Server,850000,850000,Lunas,Transfer Bank Muamalat,H. Danang Ramadhan,Reguler (Mandiri)
BYR-PSN-20250082,NIS-23766,Taufiq Pratama,Persiapan,MAT,Gedung Umar bin Khattab Kamar 174,2025-12-14 13:12:00,KATERING,Katering Makan 3x Sehari & Nutrisi,1250000,1250000,Lunas,Transfer Bank Muamalat,H. Harun Santoso,Reguler (Mandiri)
BYR-PSN-20250083,NIS-23013,Hasan Suryono,SMK,RPL,Gedung Thalhah bin Ubaidillah Kamar 108,2025-01-31 15:26:00,EKSKUL,Ekstrakurikuler Robotik & Panahan,150000,150000,Lunas,Transfer Bank Muamalat,H. Umar Hakim,Reguler (Mandiri)
BYR-PSN-20250084,NIS-23015,Fikri Nugroho,SMK,TKJ,Gedung Utsman bin Affan Kamar 232,2025-05-03 12:55:00,INFAQ-JUMAT,Infaq Sedekah Jumat Santri,50000,50000,Lunas,QRIS Pendidikan,H. Fikri Utami,Reguler (Mandiri)
BYR-PSN-20250085,NIS-25459,Muhammad Suryono,SMK,RPL,Gedung Abu Bakar Ash-Shiddiq Kamar 220,2025-10-22 11:19:00,KATERING,Katering Makan 3x Sehari & Nutrisi,1250000,1250000,Lunas,Virtual Account Bank Syariah,H. Rizky Maulana,Reguler (Mandiri)
BYR-PSN-20250086,NIS-25674,Muhammad Suryono,Persiapan,MAT,Gedung Umar bin Khattab Kamar 303,2025-04-08 20:40:00,SERTIFIKASI,Ujian Sertifikasi Kompetensi Internasional,1500000,750000,Lunas (Potongan 50%),Tunai Bendahara,H. Umar Kusuma,Beasiswa Prestasi 50%
BYR-PSN-20250087,NIS-23382,Rizky Hidayat,SMK,TKJ,Gedung Ali bin Abi Thalib Kamar 212,2025-05-23 13:23:00,EKSKUL,Ekstrakurikuler Robotik & Panahan,150000,75000,Lunas (Potongan 50%),Virtual Account Bank Syariah,H. Ibrahim Pratama,Beasiswa Prestasi 50%
BYR-PSN-20250088,NIS-25513,Rafi Firmansyah,SMK,DKV,Gedung Abu Bakar Ash-Shiddiq Kamar 149,2025-05-13 11:54:00,LAUNDRY,Jasa Laundry Seragam Santri,200000,200000,Lunas,Virtual Account BSI,H. Ibrahim Saputra,Reguler (Mandiri)
BYR-PSN-20250089,NIS-24816,Danang Kusuma,Persiapan,MAT,Gedung Utsman bin Affan Kamar 105,2025-03-22 14:23:00,SERTIFIKASI,Ujian Sertifikasi Kompetensi Internasional,1500000,0,Lunas Beasiswa Penuh,Virtual Account BSI,H. Zaid Saputra,Beasiswa Yatim Dhuafa 100%
BYR-PSN-20250090,NIS-23922,Umar Maulana,SMK,RPL,Gedung Umar bin Khattab Kamar 176,2025-05-11 11:26:00,INFAQ-JUMAT,Infaq Sedekah Jumat Santri,50000,25000,Tunggakan Sebagian,Virtual Account Bank Syariah,H. Ibrahim Firmansyah,Reguler (Mandiri)
