nomor_kontrak,id_konsumen,nama_konsumen,kode_proyek,tipe_unit,luas_bangunan_m2,luas_tanah_m2,tgl_akad,skema_akad,harga_pokok_developer,margin_keuntungan,total_harga_jual,uang_muka_dp,tenor_bulan,angsuran_per_bulan,angsuran_ke,total_terbayar,sisa_piutang,status_kelancaran
KTR-AGP-2025091,KNS-2028,Rizky Kusuma,PRJ-01,Tipe 60/90,60,90,2025-05-04 12:29:00,IMBT (Sewa Beli / Leasing),540000000,97200000,637200000,318600000,60,5310000,32,488520000,148680000,Lunas Dini
KTR-AGP-2025092,KNS-677,Muhammad Hidayat,PRJ-05,Tipe 45/72,45,72,2025-03-22 18:03:00,Cash Keras Bertahap,380000000,68400000,448400000,224200000,36,6227777,14,311388878,137011122,Lancar
KTR-AGP-2025093,KNS-2367,Rafi Saputra,PRJ-04,Tipe 120/150 VIP,120,150,2025-05-22 13:53:00,Murabahah (Jual Beli Angsuran),1250000000,375000000,1625000000,325000000,84,15476190,17,588095230,1036904770,Dalam Pantauan
KTR-AGP-2025094,KNS-2182,Hasan Saputra,PRJ-04,Tipe 60/90,60,90,2025-05-14 14:07:00,Istishna' (Pesan Bangun),540000000,162000000,702000000,351000000,60,5850000,10,409500000,292500000,Lancar
KTR-AGP-2025095,KNS-1865,Hana Firmansyah,PRJ-03,Tipe 45/72,45,72,2025-05-03 20:40:00,Murabahah (Jual Beli Angsuran),380000000,83600000,463600000,46360000,36,11590000,28,370880000,92720000,Lancar
KTR-AGP-2025096,KNS-1903,Ibrahim Suryono,PRJ-02,Tipe 84/120,84,120,2025-01-08 07:53:00,Cash Keras Bertahap,780000000,140400000,920400000,184080000,84,8765714,30,447051420,473348580,Lancar
KTR-AGP-2025097,KNS-325,Nurul Hakim,PRJ-03,Tipe 60/90,60,90,2025-08-07 07:09:00,Istishna' (Pesan Bangun),540000000,135000000,675000000,337500000,36,9375000,8,412500000,262500000,Dalam Pantauan
KTR-AGP-2025098,KNS-2129,Taufiq Kusuma,PRJ-05,Tipe 36/60,36,60,2025-08-01 11:26:00,Murabahah (Jual Beli Angsuran),240000000,43200000,283200000,56640000,24,9440000,16,207680000,75520000,Lunas Dini
KTR-AGP-2025099,KNS-2485,Rizky Saputra,PRJ-02,Tipe 45/72,45,72,2025-09-20 21:25:00,Murabahah (Jual Beli Angsuran),380000000,68400000,448400000,44840000,36,11210000,5,100890000,347510000,Lunas Dini
KTR-AGP-2025100,KNS-2004,Dina Ramadhan,PRJ-02,Tipe 36/60,36,60,2025-12-18 08:51:00,Murabahah (Jual Beli Angsuran),240000000,43200000,283200000,141600000,60,2360000,30,212400000,70800000,Tertunggak 1-30 Hari
KTR-AGP-2025101,KNS-1540,Rizky Hidayat,PRJ-03,Tipe 45/72,45,72,2025-09-04 09:18:00,Istishna' (Pesan Bangun),380000000,68400000,448400000,224200000,36,6227777,14,311388878,137011122,Lancar
KTR-AGP-2025102,KNS-2096,Hana Santoso,PRJ-02,Tipe 36/60,36,60,2025-06-09 18:02:00,IMBT (Sewa Beli / Leasing),240000000,52800000,292800000,58560000,24,9760000,12,175680000,117120000,Tertunggak >60 Hari
KTR-AGP-2025103,KNS-2783,Umar Hidayat,PRJ-05,Tipe 36/60,36,60,2025-03-01 09:29:00,Istishna' (Pesan Bangun),240000000,72000000,312000000,31200000,120,2340000,5,42900000,269100000,Tertunggak 1-30 Hari
KTR-AGP-2025104,KNS-567,Ibrahim Ramadhan,PRJ-02,Tipe 84/120,84,120,2025-03-30 14:50:00,IMBT (Sewa Beli / Leasing),780000000,171600000,951600000,95160000,36,23790000,13,404430000,547170000,Lancar
KTR-AGP-2025105,KNS-228,Khadijah Santoso,PRJ-01,Tipe 36/60,36,60,2025-08-21 13:42:00,Murabahah (Jual Beli Angsuran),240000000,43200000,283200000,141600000,120,1180000,12,155760000,127440000,Lancar
KTR-AGP-2025106,KNS-676,Nurul Nugroho,PRJ-03,Tipe 84/120,84,120,2025-09-18 21:39:00,IMBT (Sewa Beli / Leasing),780000000,195000000,975000000,292500000,84,8125000,32,552500000,422500000,Tertunggak >60 Hari
KTR-AGP-2025107,KNS-684,Danang Lestari,PRJ-04,Tipe 84/120,84,120,2025-04-19 10:36:00,IMBT (Sewa Beli / Leasing),780000000,140400000,920400000,92040000,36,23010000,30,782340000,138060000,Lancar
KTR-AGP-2025108,KNS-2427,Farhan Kusuma,PRJ-01,Tipe 84/120,84,120,2025-05-06 08:48:00,Murabahah (Jual Beli Angsuran),780000000,140400000,920400000,184080000,36,20453333,29,777226657,143173343,Lancar
KTR-AGP-2025109,KNS-1580,Ibrahim Hakim,PRJ-03,Tipe 84/120,84,120,2025-05-01 19:23:00,Istishna' (Pesan Bangun),780000000,195000000,975000000,487500000,84,5803571,14,568749994,406250006,Dalam Pantauan
KTR-AGP-2025110,KNS-1695,Umar Suryono,PRJ-05,Tipe 45/72,45,72,2025-11-25 07:11:00,Cash Keras Bertahap,380000000,68400000,448400000,89680000,60,5978666,12,161423992,286976008,Lancar
KTR-AGP-2025111,KNS-2775,Laila Utami,PRJ-05,Tipe 84/120,84,120,2025-01-10 07:08:00,Murabahah (Jual Beli Angsuran),780000000,234000000,1014000000,304200000,120,5915000,35,511225000,502775000,Dalam Pantauan
KTR-AGP-2025112,KNS-580,Ahmad Maulana,PRJ-05,Tipe 60/90,60,90,2025-09-20 18:27:00,IMBT (Sewa Beli / Leasing),540000000,135000000,675000000,67500000,60,10125000,26,330750000,344250000,Tertunggak >60 Hari
KTR-AGP-2025113,KNS-1014,Danang Santoso,PRJ-01,Tipe 45/72,45,72,2025-09-06 09:18:00,Istishna' (Pesan Bangun),380000000,95000000,475000000,47500000,84,5089285,11,103482135,371517865,Tertunggak >60 Hari
KTR-AGP-2025114,KNS-235,Fikri Nugroho,PRJ-03,Tipe 45/72,45,72,2025-08-28 16:47:00,Istishna' (Pesan Bangun),380000000,68400000,448400000,89680000,24,14946666,18,358719988,89680012,Lancar
KTR-AGP-2025115,KNS-1037,Rania Maulana,PRJ-04,Tipe 60/90,60,90,2025-06-16 19:32:00,Cash Keras Bertahap,540000000,135000000,675000000,135000000,36,15000000,35,660000000,15000000,Lancar
