id_setoran,id_santri,nama_santri,kelompok_halaqah,kode_program,id_musyrif,nama_musyrif,waktu_setoran,juz_setor,halaman_mulai,halaman_selesai,jumlah_halaman,skor_kelancaran_1_100,skor_tajwid_1_100,status_kelulusan_halaman,infaq_bulanan_terbayar
STR-QUR-2025011,SNTR-714,Ahmad Utami,Halaqah Imam Abu Amr,PRG-04,MSR-03,"Usth. Maryam Al-Khattab, Al-Hafizhah",2025-10-26 11:52:00,15,290,292,2,92,99,Mumtaz (Lulus Sempurna),250000
STR-QUR-2025012,SNTR-731,Ahmad Hakim,Halaqah Imam Nafi,PRG-04,MSR-03,"Usth. Maryam Al-Khattab, Al-Hafizhah",2025-03-06 09:05:00,10,186,196,10,70,81,I'adah (Wajib Ulang),250000
STR-QUR-2025013,SNTR-1336,Ahmad Maulana,Halaqah Imam Ibnu Katsir,PRG-04,MSR-02,"Ust. Dzulqarnain, Al-Hafizh (Sanad Nafi)",2025-11-18 20:10:00,17,329,334,5,98,95,Mumtaz (Lulus Sempurna),250000
STR-QUR-2025014,SNTR-718,Safira Lestari,Halaqah Imam Ashim,PRG-03,MSR-05,"Ust. Wildan Syakir, Al-Hafizh",2025-03-27 21:56:00,4,61,71,10,99,88,Jayyid Jiddan (Lulus Baik),400000
STR-QUR-2025015,SNTR-281,Zaid Nugroho,Halaqah Imam Ibnu Katsir,PRG-01,MSR-01,"Ust. Muhaimin, Al-Hafizh (Sanad Ashim)",2025-06-04 08:27:00,14,269,271,2,76,82,Jayyid Jiddan (Lulus Baik),350000
STR-QUR-2025016,SNTR-1011,Ilham Lestari,Halaqah Imam Hamzah,PRG-02,MSR-02,"Ust. Dzulqarnain, Al-Hafizh (Sanad Nafi)",2025-11-11 14:55:00,18,341,361,20,88,75,Jayyid Jiddan (Lulus Baik),300000
STR-QUR-2025017,SNTR-854,Laila Wijaya,Halaqah Imam Abu Amr,PRG-04,MSR-04,"Ust. Fatih Karim, Al-Hafizh",2025-07-01 15:11:00,30,581,582,1,98,95,Mumtaz (Lulus Sempurna),250000
STR-QUR-2025018,SNTR-1200,Ibrahim Hidayat,Halaqah Imam Hamzah,PRG-02,MSR-04,"Ust. Fatih Karim, Al-Hafizh",2025-01-14 20:18:00,6,102,107,5,69,96,I'adah (Wajib Ulang),300000
STR-QUR-2025019,SNTR-319,Hana Suryono,Halaqah Imam Ibnu Katsir,PRG-05,MSR-01,"Ust. Muhaimin, Al-Hafizh (Sanad Ashim)",2025-03-27 21:40:00,25,486,496,10,81,74,Jayyid Jiddan (Lulus Baik),500000
STR-QUR-2025020,SNTR-1417,Farhan Hidayat,Halaqah Imam Ibnu Katsir,PRG-02,MSR-01,"Ust. Muhaimin, Al-Hafizh (Sanad Ashim)",2025-03-06 11:56:00,26,505,506,1,87,89,Jayyid Jiddan (Lulus Baik),300000
STR-QUR-2025021,SNTR-760,Rizky Firmansyah,Halaqah Imam Ashim,PRG-03,MSR-03,"Usth. Maryam Al-Khattab, Al-Hafizhah",2025-11-11 07:16:00,1,4,9,5,71,76,I'adah (Wajib Ulang),400000
STR-QUR-2025022,SNTR-1442,Aisyah Wijaya,Halaqah Imam Hamzah,PRG-04,MSR-03,"Usth. Maryam Al-Khattab, Al-Hafizhah",2025-02-01 10:28:00,14,262,267,5,94,92,Mumtaz (Lulus Sempurna),250000
STR-QUR-2025023,SNTR-1246,Ilham Saputra,Halaqah Imam Abu Amr,PRG-02,MSR-04,"Ust. Fatih Karim, Al-Hafizh",2025-06-16 18:35:00,19,370,371,1,81,96,Jayyid Jiddan (Lulus Baik),300000
STR-QUR-2025024,SNTR-1196,Ilham Pratama,Halaqah Imam Ashim,PRG-03,MSR-04,"Ust. Fatih Karim, Al-Hafizh",2025-07-10 21:01:00,17,324,344,20,85,77,Jayyid Jiddan (Lulus Baik),400000
STR-QUR-2025025,SNTR-1105,Putri Pratama,Halaqah Imam Abu Amr,PRG-04,MSR-02,"Ust. Dzulqarnain, Al-Hafizh (Sanad Nafi)",2025-02-16 15:01:00,17,329,334,5,95,74,Jayyid Jiddan (Lulus Baik),250000
STR-QUR-2025026,SNTR-1408,Safira Nugroho,Halaqah Imam Hamzah,PRG-05,MSR-01,"Ust. Muhaimin, Al-Hafizh (Sanad Ashim)",2025-07-02 07:52:00,27,528,538,10,79,97,Jayyid Jiddan (Lulus Baik),500000
STR-QUR-2025027,SNTR-1146,Khadijah Saputra,Halaqah Imam Ashim,PRG-05,MSR-01,"Ust. Muhaimin, Al-Hafizh (Sanad Ashim)",2025-03-30 08:16:00,13,250,255,5,70,97,I'adah (Wajib Ulang),500000
STR-QUR-2025028,SNTR-642,Fikri Pratama,Halaqah Imam Ibnu Katsir,PRG-03,MSR-03,"Usth. Maryam Al-Khattab, Al-Hafizhah",2025-03-18 11:35:00,13,249,252,3,97,88,Jayyid Jiddan (Lulus Baik),400000
STR-QUR-2025029,SNTR-1219,Danang Santoso,Halaqah Imam Ashim,PRG-01,MSR-05,"Ust. Wildan Syakir, Al-Hafizh",2025-02-04 19:46:00,16,308,311,3,73,84,I'adah (Wajib Ulang),350000
STR-QUR-2025030,SNTR-461,Ali Saputra,Halaqah Imam Abu Amr,PRG-01,MSR-04,"Ust. Fatih Karim, Al-Hafizh",2025-04-09 15:22:00,14,266,276,10,69,90,I'adah (Wajib Ulang),350000
STR-QUR-2025031,SNTR-748,Ilham Nugroho,Halaqah Imam Ashim,PRG-04,MSR-02,"Ust. Dzulqarnain, Al-Hafizh (Sanad Nafi)",2025-04-22 07:04:00,22,429,432,3,88,98,Jayyid Jiddan (Lulus Baik),250000
STR-QUR-2025032,SNTR-444,Aisyah Kusuma,Halaqah Imam Ibnu Katsir,PRG-04,MSR-02,"Ust. Dzulqarnain, Al-Hafizh (Sanad Nafi)",2025-02-28 09:13:00,28,546,566,20,74,97,I'adah (Wajib Ulang),250000
STR-QUR-2025033,SNTR-642,Farhan Ramadhan,Halaqah Imam Ibnu Katsir,PRG-03,MSR-04,"Ust. Fatih Karim, Al-Hafizh",2025-05-06 13:22:00,23,445,455,10,95,74,Jayyid Jiddan (Lulus Baik),400000
STR-QUR-2025034,SNTR-1059,Zaid Wijaya,Halaqah Imam Hamzah,PRG-05,MSR-02,"Ust. Dzulqarnain, Al-Hafizh (Sanad Nafi)",2025-08-10 16:11:00,21,407,417,10,86,80,Jayyid Jiddan (Lulus Baik),500000
STR-QUR-2025035,SNTR-417,Umar Nugroho,Halaqah Imam Ibnu Katsir,PRG-03,MSR-03,"Usth. Maryam Al-Khattab, Al-Hafizhah",2025-11-07 12:18:00,8,146,147,1,87,96,Jayyid Jiddan (Lulus Baik),400000
STR-QUR-2025036,SNTR-884,Nurul Santoso,Halaqah Imam Abu Amr,PRG-03,MSR-01,"Ust. Muhaimin, Al-Hafizh (Sanad Ashim)",2025-12-10 13:10:00,24,468,473,5,70,76,I'adah (Wajib Ulang),400000
STR-QUR-2025037,SNTR-987,Muhammad Suryono,Halaqah Imam Hamzah,PRG-01,MSR-04,"Ust. Fatih Karim, Al-Hafizh",2025-08-21 07:27:00,3,46,49,3,97,80,Jayyid Jiddan (Lulus Baik),350000
STR-QUR-2025038,SNTR-949,Muhammad Hidayat,Halaqah Imam Nafi,PRG-02,MSR-02,"Ust. Dzulqarnain, Al-Hafizh (Sanad Nafi)",2025-10-30 20:19:00,14,262,267,5,80,100,Jayyid Jiddan (Lulus Baik),0
STR-QUR-2025039,SNTR-606,Rafi Pratama,Halaqah Imam Nafi,PRG-03,MSR-03,"Usth. Maryam Al-Khattab, Al-Hafizhah",2025-06-24 21:49:00,17,330,335,5,78,93,Jayyid Jiddan (Lulus Baik),400000
STR-QUR-2025040,SNTR-165,Ahmad Ramadhan,Halaqah Imam Hamzah,PRG-01,MSR-04,"Ust. Fatih Karim, Al-Hafizh",2025-01-15 15:48:00,30,582,585,3,89,70,Jayyid Jiddan (Lulus Baik),350000
STR-QUR-2025041,SNTR-683,Umar Saputra,Halaqah Imam Hamzah,PRG-02,MSR-02,"Ust. Dzulqarnain, Al-Hafizh (Sanad Nafi)",2025-11-12 20:33:00,16,306,308,2,68,78,I'adah (Wajib Ulang),300000
STR-QUR-2025042,SNTR-1357,Rizky Maulana,Halaqah Imam Hamzah,PRG-02,MSR-05,"Ust. Wildan Syakir, Al-Hafizh",2025-11-19 07:28:00,29,562,564,2,83,96,Jayyid Jiddan (Lulus Baik),300000
STR-QUR-2025043,SNTR-101,Harun Santoso,Halaqah Imam Ibnu Katsir,PRG-01,MSR-05,"Ust. Wildan Syakir, Al-Hafizh",2025-04-06 14:52:00,9,163,183,20,85,98,Jayyid Jiddan (Lulus Baik),350000
STR-QUR-2025044,SNTR-969,Azizah Maulana,Halaqah Imam Abu Amr,PRG-05,MSR-04,"Ust. Fatih Karim, Al-Hafizh",2025-10-01 19:54:00,15,287,289,2,69,75,I'adah (Wajib Ulang),500000
STR-QUR-2025045,SNTR-1004,Taufiq Utami,Halaqah Imam Nafi,PRG-05,MSR-04,"Ust. Fatih Karim, Al-Hafizh",2025-10-27 09:57:00,2,23,43,20,95,72,Jayyid Jiddan (Lulus Baik),500000
STR-QUR-2025046,SNTR-371,Ibrahim Utami,Halaqah Imam Abu Amr,PRG-02,MSR-02,"Ust. Dzulqarnain, Al-Hafizh (Sanad Nafi)",2025-01-01 09:17:00,30,583,588,5,85,81,Jayyid Jiddan (Lulus Baik),300000
STR-QUR-2025047,SNTR-525,Farhan Wijaya,Halaqah Imam Abu Amr,PRG-02,MSR-03,"Usth. Maryam Al-Khattab, Al-Hafizhah",2025-05-15 20:13:00,14,265,270,5,69,78,I'adah (Wajib Ulang),300000
STR-QUR-2025048,SNTR-179,Ilham Suryono,Halaqah Imam Nafi,PRG-02,MSR-02,"Ust. Dzulqarnain, Al-Hafizh (Sanad Nafi)",2025-01-30 07:51:00,10,190,210,20,91,97,Mumtaz (Lulus Sempurna),300000
STR-QUR-2025049,SNTR-803,Taufiq Ramadhan,Halaqah Imam Hamzah,PRG-04,MSR-02,"Ust. Dzulqarnain, Al-Hafizh (Sanad Nafi)",2025-06-21 08:10:00,22,423,426,3,74,89,I'adah (Wajib Ulang),250000
STR-QUR-2025050,SNTR-612,Fikri Maulana,Halaqah Imam Hamzah,PRG-03,MSR-03,"Usth. Maryam Al-Khattab, Al-Hafizhah",2025-09-18 15:15:00,2,24,29,5,71,73,I'adah (Wajib Ulang),400000
STR-QUR-2025051,SNTR-853,Taufiq Pratama,Halaqah Imam Ibnu Katsir,PRG-02,MSR-05,"Ust. Wildan Syakir, Al-Hafizh",2025-02-11 13:52:00,26,503,506,3,95,73,Jayyid Jiddan (Lulus Baik),300000
STR-QUR-2025052,SNTR-627,Putri Pratama,Halaqah Imam Hamzah,PRG-02,MSR-01,"Ust. Muhaimin, Al-Hafizh (Sanad Ashim)",2025-01-09 12:32:00,8,142,162,20,71,71,I'adah (Wajib Ulang),0
STR-QUR-2025053,SNTR-411,Farhan Pratama,Halaqah Imam Abu Amr,PRG-02,MSR-01,"Ust. Muhaimin, Al-Hafizh (Sanad Ashim)",2025-02-04 11:21:00,5,83,93,10,77,81,Jayyid Jiddan (Lulus Baik),300000
STR-QUR-2025054,SNTR-267,Ibrahim Pratama,Halaqah Imam Abu Amr,PRG-03,MSR-03,"Usth. Maryam Al-Khattab, Al-Hafizhah",2025-10-05 11:26:00,6,105,115,10,99,78,Jayyid Jiddan (Lulus Baik),0
STR-QUR-2025055,SNTR-308,Laila Lestari,Halaqah Imam Abu Amr,PRG-01,MSR-03,"Usth. Maryam Al-Khattab, Al-Hafizhah",2025-04-25 17:21:00,30,582,592,10,72,71,I'adah (Wajib Ulang),350000
STR-QUR-2025056,SNTR-700,Rizky Saputra,Halaqah Imam Ibnu Katsir,PRG-04,MSR-03,"Usth. Maryam Al-Khattab, Al-Hafizhah",2025-02-22 18:45:00,10,187,192,5,80,73,Jayyid Jiddan (Lulus Baik),0
STR-QUR-2025057,SNTR-956,Harun Maulana,Halaqah Imam Ibnu Katsir,PRG-05,MSR-02,"Ust. Dzulqarnain, Al-Hafizh (Sanad Nafi)",2025-09-03 08:23:00,18,346,351,5,83,92,Jayyid Jiddan (Lulus Baik),500000
STR-QUR-2025058,SNTR-682,Fikri Kusuma,Halaqah Imam Ashim,PRG-05,MSR-05,"Ust. Wildan Syakir, Al-Hafizh",2025-06-18 18:48:00,1,8,11,3,93,73,Jayyid Jiddan (Lulus Baik),500000
STR-QUR-2025059,SNTR-500,Harun Maulana,Halaqah Imam Nafi,PRG-05,MSR-04,"Ust. Fatih Karim, Al-Hafizh",2025-07-21 08:31:00,7,123,126,3,93,90,Mumtaz (Lulus Sempurna),500000
STR-QUR-2025060,SNTR-1339,Maryam Utami,Halaqah Imam Abu Amr,PRG-02,MSR-04,"Ust. Fatih Karim, Al-Hafizh",2025-11-26 09:10:00,9,167,169,2,71,91,I'adah (Wajib Ulang),300000
STR-QUR-2025061,SNTR-159,Zahra Hakim,Halaqah Imam Ashim,PRG-03,MSR-02,"Ust. Dzulqarnain, Al-Hafizh (Sanad Nafi)",2025-10-20 20:45:00,20,381,391,10,70,92,I'adah (Wajib Ulang),400000
STR-QUR-2025062,SNTR-436,Ibrahim Suryono,Halaqah Imam Hamzah,PRG-01,MSR-02,"Ust. Dzulqarnain, Al-Hafizh (Sanad Nafi)",2025-11-14 21:40:00,10,187,190,3,84,70,Jayyid Jiddan (Lulus Baik),350000
STR-QUR-2025063,SNTR-401,Hana Firmansyah,Halaqah Imam Nafi,PRG-01,MSR-01,"Ust. Muhaimin, Al-Hafizh (Sanad Ashim)",2025-08-14 09:45:00,7,123,124,1,90,95,Mumtaz (Lulus Sempurna),350000
STR-QUR-2025064,SNTR-928,Ahmad Hakim,Halaqah Imam Abu Amr,PRG-03,MSR-03,"Usth. Maryam Al-Khattab, Al-Hafizhah",2025-11-12 14:39:00,25,484,486,2,69,100,I'adah (Wajib Ulang),400000
STR-QUR-2025065,SNTR-1246,Rania Saputra,Halaqah Imam Hamzah,PRG-03,MSR-04,"Ust. Fatih Karim, Al-Hafizh",2025-04-26 09:21:00,11,208,210,2,72,79,I'adah (Wajib Ulang),400000
STR-QUR-2025066,SNTR-1049,Nurul Maulana,Halaqah Imam Ashim,PRG-04,MSR-01,"Ust. Muhaimin, Al-Hafizh (Sanad Ashim)",2025-09-17 08:28:00,15,286,306,20,90,79,Jayyid Jiddan (Lulus Baik),250000
STR-QUR-2025067,SNTR-1483,Maryam Utami,Halaqah Imam Ibnu Katsir,PRG-02,MSR-02,"Ust. Dzulqarnain, Al-Hafizh (Sanad Nafi)",2025-02-04 17:18:00,2,30,33,3,87,75,Jayyid Jiddan (Lulus Baik),300000
STR-QUR-2025068,SNTR-801,Muhammad Utami,Halaqah Imam Hamzah,PRG-02,MSR-01,"Ust. Muhaimin, Al-Hafizh (Sanad Ashim)",2025-10-18 09:33:00,21,402,403,1,99,98,Mumtaz (Lulus Sempurna),300000
STR-QUR-2025069,SNTR-375,Rizky Ramadhan,Halaqah Imam Nafi,PRG-04,MSR-04,"Ust. Fatih Karim, Al-Hafizh",2025-10-18 21:56:00,11,208,209,1,89,88,Jayyid Jiddan (Lulus Baik),250000
STR-QUR-2025070,SNTR-619,Umar Wijaya,Halaqah Imam Hamzah,PRG-01,MSR-02,"Ust. Dzulqarnain, Al-Hafizh (Sanad Nafi)",2025-11-13 12:53:00,5,86,96,10,85,84,Jayyid Jiddan (Lulus Baik),350000
STR-QUR-2025071,SNTR-589,Taufiq Kusuma,Halaqah Imam Hamzah,PRG-05,MSR-01,"Ust. Muhaimin, Al-Hafizh (Sanad Ashim)",2025-11-15 15:42:00,11,204,205,1,80,75,Jayyid Jiddan (Lulus Baik),500000
STR-QUR-2025072,SNTR-1231,Farhan Nugroho,Halaqah Imam Nafi,PRG-03,MSR-02,"Ust. Dzulqarnain, Al-Hafizh (Sanad Nafi)",2025-02-12 16:53:00,28,543,546,3,91,70,Jayyid Jiddan (Lulus Baik),400000
STR-QUR-2025073,SNTR-129,Laila Wijaya,Halaqah Imam Hamzah,PRG-03,MSR-05,"Ust. Wildan Syakir, Al-Hafizh",2025-02-23 15:18:00,14,266,267,1,85,78,Jayyid Jiddan (Lulus Baik),400000
STR-QUR-2025074,SNTR-355,Hana Suryono,Halaqah Imam Ashim,PRG-04,MSR-03,"Usth. Maryam Al-Khattab, Al-Hafizhah",2025-04-14 13:05:00,15,288,293,5,67,74,I'adah (Wajib Ulang),250000
STR-QUR-2025075,SNTR-232,Ilham Pratama,Halaqah Imam Ibnu Katsir,PRG-01,MSR-01,"Ust. Muhaimin, Al-Hafizh (Sanad Ashim)",2025-10-19 19:40:00,29,570,573,3,97,97,Mumtaz (Lulus Sempurna),0
STR-QUR-2025076,SNTR-139,Ahmad Kusuma,Halaqah Imam Ibnu Katsir,PRG-03,MSR-01,"Ust. Muhaimin, Al-Hafizh (Sanad Ashim)",2025-12-30 09:25:00,28,541,551,10,86,91,Jayyid Jiddan (Lulus Baik),400000
STR-QUR-2025077,SNTR-315,Farhan Suryono,Halaqah Imam Hamzah,PRG-02,MSR-05,"Ust. Wildan Syakir, Al-Hafizh",2025-10-29 21:20:00,4,64,65,1,94,71,Jayyid Jiddan (Lulus Baik),300000
STR-QUR-2025078,SNTR-981,Ahmad Suryono,Halaqah Imam Abu Amr,PRG-01,MSR-03,"Usth. Maryam Al-Khattab, Al-Hafizhah",2025-05-11 19:46:00,15,288,293,5,77,76,Jayyid Jiddan (Lulus Baik),350000
STR-QUR-2025079,SNTR-230,Aisyah Hakim,Halaqah Imam Hamzah,PRG-05,MSR-02,"Ust. Dzulqarnain, Al-Hafizh (Sanad Nafi)",2025-06-11 10:40:00,24,465,466,1,90,73,Jayyid Jiddan (Lulus Baik),500000
STR-QUR-2025080,SNTR-1318,Zaid Santoso,Halaqah Imam Nafi,PRG-02,MSR-02,"Ust. Dzulqarnain, Al-Hafizh (Sanad Nafi)",2025-08-09 17:26:00,13,241,246,5,91,78,Jayyid Jiddan (Lulus Baik),300000
STR-QUR-2025081,SNTR-949,Harun Lestari,Halaqah Imam Abu Amr,PRG-01,MSR-04,"Ust. Fatih Karim, Al-Hafizh",2025-04-11 20:46:00,13,250,270,20,77,92,Jayyid Jiddan (Lulus Baik),350000
STR-QUR-2025082,SNTR-1016,Rania Suryono,Halaqah Imam Hamzah,PRG-02,MSR-02,"Ust. Dzulqarnain, Al-Hafizh (Sanad Nafi)",2025-03-30 20:55:00,6,101,104,3,93,91,Mumtaz (Lulus Sempurna),300000
STR-QUR-2025083,SNTR-859,Ilham Ramadhan,Halaqah Imam Hamzah,PRG-03,MSR-04,"Ust. Fatih Karim, Al-Hafizh",2025-04-11 07:43:00,5,85,90,5,97,95,Mumtaz (Lulus Sempurna),400000
STR-QUR-2025084,SNTR-1181,Harun Kusuma,Halaqah Imam Hamzah,PRG-04,MSR-01,"Ust. Muhaimin, Al-Hafizh (Sanad Ashim)",2025-03-13 12:08:00,2,26,36,10,83,88,Jayyid Jiddan (Lulus Baik),250000
STR-QUR-2025085,SNTR-1053,Ali Ramadhan,Halaqah Imam Abu Amr,PRG-04,MSR-03,"Usth. Maryam Al-Khattab, Al-Hafizhah",2025-09-01 07:34:00,2,24,27,3,88,86,Jayyid Jiddan (Lulus Baik),250000
STR-QUR-2025086,SNTR-148,Harun Lestari,Halaqah Imam Abu Amr,PRG-02,MSR-03,"Usth. Maryam Al-Khattab, Al-Hafizhah",2025-11-24 07:27:00,7,130,140,10,84,81,Jayyid Jiddan (Lulus Baik),300000
STR-QUR-2025087,SNTR-322,Ibrahim Ramadhan,Halaqah Imam Hamzah,PRG-04,MSR-02,"Ust. Dzulqarnain, Al-Hafizh (Sanad Nafi)",2025-12-27 21:20:00,22,423,433,10,87,91,Jayyid Jiddan (Lulus Baik),250000
STR-QUR-2025088,SNTR-1371,Muhammad Saputra,Halaqah Imam Ibnu Katsir,PRG-01,MSR-02,"Ust. Dzulqarnain, Al-Hafizh (Sanad Nafi)",2025-10-04 18:32:00,30,582,602,20,86,99,Jayyid Jiddan (Lulus Baik),350000
STR-QUR-2025089,SNTR-857,Rania Firmansyah,Halaqah Imam Nafi,PRG-02,MSR-04,"Ust. Fatih Karim, Al-Hafizh",2025-09-16 19:29:00,16,302,307,5,83,88,Jayyid Jiddan (Lulus Baik),300000
STR-QUR-2025090,SNTR-590,Farhan Lestari,Halaqah Imam Ashim,PRG-01,MSR-04,"Ust. Fatih Karim, Al-Hafizh",2025-12-10 18:36:00,30,589,599,10,76,75,Jayyid Jiddan (Lulus Baik),350000
STR-QUR-2025091,SNTR-879,Maryam Santoso,Halaqah Imam Ashim,PRG-05,MSR-02,"Ust. Dzulqarnain, Al-Hafizh (Sanad Nafi)",2025-02-04 10:52:00,12,226,229,3,88,97,Jayyid Jiddan (Lulus Baik),500000
STR-QUR-2025092,SNTR-1035,Nisa Nugroho,Halaqah Imam Ashim,PRG-03,MSR-02,"Ust. Dzulqarnain, Al-Hafizh (Sanad Nafi)",2025-07-19 14:52:00,8,145,150,5,83,73,Jayyid Jiddan (Lulus Baik),400000
STR-QUR-2025093,SNTR-661,Safira Hakim,Halaqah Imam Ashim,PRG-03,MSR-03,"Usth. Maryam Al-Khattab, Al-Hafizhah",2025-12-07 13:56:00,18,347,349,2,69,100,I'adah (Wajib Ulang),400000
STR-QUR-2025094,SNTR-1475,Zaid Wijaya,Halaqah Imam Ashim,PRG-01,MSR-05,"Ust. Wildan Syakir, Al-Hafizh",2025-07-24 14:23:00,23,444,449,5,99,71,Jayyid Jiddan (Lulus Baik),350000
STR-QUR-2025095,SNTR-684,Ali Lestari,Halaqah Imam Hamzah,PRG-02,MSR-05,"Ust. Wildan Syakir, Al-Hafizh",2025-11-22 10:07:00,26,503,523,20,93,76,Jayyid Jiddan (Lulus Baik),300000
STR-QUR-2025096,SNTR-152,Zahra Suryono,Halaqah Imam Ibnu Katsir,PRG-04,MSR-05,"Ust. Wildan Syakir, Al-Hafizh",2025-06-25 07:35:00,16,310,315,5,97,80,Jayyid Jiddan (Lulus Baik),250000
STR-QUR-2025097,SNTR-865,Ibrahim Hakim,Halaqah Imam Nafi,PRG-05,MSR-03,"Usth. Maryam Al-Khattab, Al-Hafizhah",2025-12-13 20:14:00,24,469,470,1,75,100,Jayyid Jiddan (Lulus Baik),500000
STR-QUR-2025098,SNTR-601,Ibrahim Maulana,Halaqah Imam Ibnu Katsir,PRG-04,MSR-04,"Ust. Fatih Karim, Al-Hafizh",2025-10-02 09:08:00,4,63,64,1,94,75,Jayyid Jiddan (Lulus Baik),250000
STR-QUR-2025099,SNTR-171,Hasan Kusuma,Halaqah Imam Ashim,PRG-02,MSR-01,"Ust. Muhaimin, Al-Hafizh (Sanad Ashim)",2025-08-01 20:35:00,8,142,143,1,73,84,I'adah (Wajib Ulang),0
STR-QUR-2025100,SNTR-1283,Ibrahim Hidayat,Halaqah Imam Abu Amr,PRG-03,MSR-05,"Ust. Wildan Syakir, Al-Hafizh",2025-04-10 21:14:00,3,42,52,10,89,81,Jayyid Jiddan (Lulus Baik),400000
STR-QUR-2025101,SNTR-465,Salma Maulana,Halaqah Imam Abu Amr,PRG-05,MSR-01,"Ust. Muhaimin, Al-Hafizh (Sanad Ashim)",2025-11-17 20:28:00,11,204,207,3,91,86,Jayyid Jiddan (Lulus Baik),500000
STR-QUR-2025102,SNTR-1255,Umar Kusuma,Halaqah Imam Nafi,PRG-03,MSR-02,"Ust. Dzulqarnain, Al-Hafizh (Sanad Nafi)",2025-06-20 16:59:00,22,426,446,20,94,87,Jayyid Jiddan (Lulus Baik),400000
STR-QUR-2025103,SNTR-1338,Rafi Nugroho,Halaqah Imam Nafi,PRG-01,MSR-04,"Ust. Fatih Karim, Al-Hafizh",2025-06-08 12:32:00,22,427,429,2,100,86,Jayyid Jiddan (Lulus Baik),350000
STR-QUR-2025104,SNTR-324,Khadijah Lestari,Halaqah Imam Nafi,PRG-04,MSR-05,"Ust. Wildan Syakir, Al-Hafizh",2025-01-22 11:00:00,8,144,149,5,91,78,Jayyid Jiddan (Lulus Baik),250000
STR-QUR-2025105,SNTR-433,Rizky Firmansyah,Halaqah Imam Nafi,PRG-05,MSR-05,"Ust. Wildan Syakir, Al-Hafizh",2025-03-19 18:31:00,2,21,23,2,96,82,Jayyid Jiddan (Lulus Baik),500000
STR-QUR-2025106,SNTR-1308,Harun Nugroho,Halaqah Imam Ashim,PRG-03,MSR-02,"Ust. Dzulqarnain, Al-Hafizh (Sanad Nafi)",2025-04-08 16:03:00,26,509,514,5,94,80,Jayyid Jiddan (Lulus Baik),400000
STR-QUR-2025107,SNTR-1422,Fikri Nugroho,Halaqah Imam Ashim,PRG-04,MSR-03,"Usth. Maryam Al-Khattab, Al-Hafizhah",2025-07-13 16:52:00,15,290,310,20,90,73,Jayyid Jiddan (Lulus Baik),250000
