id_transaksi_mart,tgl_transaksi,id_anggota,nama_anggota,tipe_anggota,kode_produk,nama_produk,kategori_produk,harga_jual,harga_pokok,qty_beli,total_omset,laba_kotor,metode_bayar,poin_keaktifan_shu
KOP-20250014,2025-01-08 14:18:00,ANG-1973,Zaid Wijaya,Wali Santri / Tamu,PRD-08,Madu Habbatussauda Murni 250gr,Herbal & Kesehatan,65000,40000,3,195000,75000,Saldo Tabungan Wadiah Koperasi,0
KOP-20250015,2025-04-06 12:18:00,ANG-2306,Farhan Suryono,Ustadz / Pengajar,PRD-01,Buku Kitab Kuning & Modul Pelajaran,Pendidikan,45000,28000,2,90000,34000,Tunai,4
KOP-20250016,2025-07-20 19:50:00,ANG-1604,Khadijah Saputra,Wali Santri / Tamu,PRD-01,Buku Kitab Kuning & Modul Pelajaran,Pendidikan,45000,28000,1,45000,17000,QRIS Kopontren,0
KOP-20250017,2025-05-28 17:51:00,ANG-598,Safira Ramadhan,Karyawan Pesantren,PRD-03,Air Mineral Santri Al-Barakah 600ml,Minuman,3500,2000,2,7000,3000,Kartu Santri Smart Card (RFID),4
KOP-20250018,2025-12-25 21:54:00,ANG-770,Harun Lestari,Ustadz / Pengajar,PRD-08,Madu Habbatussauda Murni 250gr,Herbal & Kesehatan,65000,40000,2,130000,50000,Kartu Santri Smart Card (RFID),4
KOP-20250019,2025-11-13 19:38:00,ANG-1485,Farhan Maulana,Masyarakat Sekitar,PRD-03,Air Mineral Santri Al-Barakah 600ml,Minuman,3500,2000,1,3500,1500,Saldo Tabungan Wadiah Koperasi,0
KOP-20250020,2025-09-16 17:02:00,ANG-970,Fatimah Maulana,Santri Asrama,PRD-05,Sabun Cuci & Perlengkapan Mandi,Sanitasi & Kebersihan,18000,11000,1,18000,7000,Tunai,2
KOP-20250021,2025-09-12 18:26:00,ANG-1275,Nurul Ramadhan,Santri Asrama,PRD-05,Sabun Cuci & Perlengkapan Mandi,Sanitasi & Kebersihan,18000,11000,1,18000,7000,Kartu Santri Smart Card (RFID),2
KOP-20250022,2025-05-04 16:22:00,ANG-2323,Ahmad Hakim,Wali Santri / Tamu,PRD-03,Air Mineral Santri Al-Barakah 600ml,Minuman,3500,2000,1,3500,1500,QRIS Kopontren,0
KOP-20250023,2025-10-24 10:29:00,ANG-1986,Fatimah Maulana,Santri Asrama,PRD-07,Alat Tulis & Buku Tulis 58 Lembar,Stationery,6000,3200,2,12000,5600,QRIS Kopontren,4
KOP-20250024,2025-10-22 11:20:00,ANG-1173,Azizah Pratama,Wali Santri / Tamu,PRD-04,Roti Bakar & Snack Halal Pesantren,Makanan Ringan,8000,4500,6,48000,21000,Tunai,0
KOP-20250025,2025-01-02 13:04:00,ANG-1531,Azizah Santoso,Masyarakat Sekitar,PRD-06,Sarung Tenun & Peci Santri Premium,Pakaian & Busana,95000,60000,1,95000,35000,QRIS Kopontren,0
KOP-20250026,2025-08-13 19:16:00,ANG-1008,Farhan Hidayat,Wali Santri / Tamu,PRD-05,Sabun Cuci & Perlengkapan Mandi,Sanitasi & Kebersihan,18000,11000,3,54000,21000,Saldo Tabungan Wadiah Koperasi,0
KOP-20250027,2025-11-09 19:56:00,ANG-1074,Ilham Utami,Karyawan Pesantren,PRD-07,Alat Tulis & Buku Tulis 58 Lembar,Stationery,6000,3200,3,18000,8400,Kartu Santri Smart Card (RFID),6
KOP-20250028,2025-05-02 13:36:00,ANG-953,Rizky Nugroho,Wali Santri / Tamu,PRD-04,Roti Bakar & Snack Halal Pesantren,Makanan Ringan,8000,4500,4,32000,14000,QRIS Kopontren,0
KOP-20250029,2025-03-23 16:20:00,ANG-1985,Nurul Hakim,Wali Santri / Tamu,PRD-06,Sarung Tenun & Peci Santri Premium,Pakaian & Busana,95000,60000,1,95000,35000,Tunai,0
KOP-20250030,2025-11-04 20:46:00,ANG-979,Ali Maulana,Santri Asrama,PRD-08,Madu Habbatussauda Murni 250gr,Herbal & Kesehatan,65000,40000,1,65000,25000,Kartu Santri Smart Card (RFID),2
KOP-20250031,2025-12-02 16:57:00,ANG-1091,Umar Hakim,Santri Asrama,PRD-08,Madu Habbatussauda Murni 250gr,Herbal & Kesehatan,65000,40000,3,195000,75000,QRIS Kopontren,6
KOP-20250032,2025-11-26 12:26:00,ANG-2204,Farhan Hakim,Karyawan Pesantren,PRD-06,Sarung Tenun & Peci Santri Premium,Pakaian & Busana,95000,60000,3,285000,105000,Saldo Tabungan Wadiah Koperasi,6
KOP-20250033,2025-11-26 15:20:00,ANG-1360,Ahmad Ramadhan,Wali Santri / Tamu,PRD-07,Alat Tulis & Buku Tulis 58 Lembar,Stationery,6000,3200,3,18000,8400,Kartu Santri Smart Card (RFID),0
KOP-20250034,2025-06-25 18:10:00,ANG-575,Nisa Wijaya,Wali Santri / Tamu,PRD-01,Buku Kitab Kuning & Modul Pelajaran,Pendidikan,45000,28000,1,45000,17000,Tunai,0
KOP-20250035,2025-06-12 19:33:00,ANG-649,Muhammad Wijaya,Wali Santri / Tamu,PRD-07,Alat Tulis & Buku Tulis 58 Lembar,Stationery,6000,3200,1,6000,2800,QRIS Kopontren,0
KOP-20250036,2025-12-01 21:52:00,ANG-2340,Khadijah Pratama,Ustadz / Pengajar,PRD-06,Sarung Tenun & Peci Santri Premium,Pakaian & Busana,95000,60000,2,190000,70000,Kartu Santri Smart Card (RFID),4
KOP-20250037,2025-05-11 09:43:00,ANG-1588,Safira Kusuma,Santri Asrama,PRD-02,Minyak Wangi Non-Alkohol & Siwak,Ibadah & Sunnah,25000,12000,1,25000,13000,QRIS Kopontren,2
KOP-20250038,2025-06-24 10:56:00,ANG-264,Rafi Nugroho,Karyawan Pesantren,PRD-07,Alat Tulis & Buku Tulis 58 Lembar,Stationery,6000,3200,6,36000,16800,QRIS Kopontren,12
KOP-20250039,2025-01-24 18:33:00,ANG-1443,Rania Maulana,Ustadz / Pengajar,PRD-06,Sarung Tenun & Peci Santri Premium,Pakaian & Busana,95000,60000,1,95000,35000,QRIS Kopontren,2
KOP-20250040,2025-03-10 13:18:00,ANG-2164,Harun Maulana,Karyawan Pesantren,PRD-03,Air Mineral Santri Al-Barakah 600ml,Minuman,3500,2000,1,3500,1500,QRIS Kopontren,2
KOP-20250041,2025-06-25 21:15:00,ANG-1112,Khadijah Hakim,Ustadz / Pengajar,PRD-04,Roti Bakar & Snack Halal Pesantren,Makanan Ringan,8000,4500,6,48000,21000,Saldo Tabungan Wadiah Koperasi,12
KOP-20250042,2025-05-03 21:37:00,ANG-1918,Ilham Wijaya,Masyarakat Sekitar,PRD-05,Sabun Cuci & Perlengkapan Mandi,Sanitasi & Kebersihan,18000,11000,1,18000,7000,Tunai,0
KOP-20250043,2025-02-03 07:20:00,ANG-1991,Rafi Suryono,Wali Santri / Tamu,PRD-07,Alat Tulis & Buku Tulis 58 Lembar,Stationery,6000,3200,2,12000,5600,Tunai,0
KOP-20250044,2025-03-21 09:15:00,ANG-889,Zahra Wijaya,Santri Asrama,PRD-06,Sarung Tenun & Peci Santri Premium,Pakaian & Busana,95000,60000,3,285000,105000,Saldo Tabungan Wadiah Koperasi,6
KOP-20250045,2025-06-12 12:45:00,ANG-2365,Harun Lestari,Santri Asrama,PRD-02,Minyak Wangi Non-Alkohol & Siwak,Ibadah & Sunnah,25000,12000,6,150000,78000,Kartu Santri Smart Card (RFID),12
KOP-20250046,2025-12-08 19:25:00,ANG-1979,Ibrahim Hidayat,Santri Asrama,PRD-04,Roti Bakar & Snack Halal Pesantren,Makanan Ringan,8000,4500,2,16000,7000,Saldo Tabungan Wadiah Koperasi,4
KOP-20250047,2025-02-12 10:40:00,ANG-1121,Farhan Ramadhan,Ustadz / Pengajar,PRD-07,Alat Tulis & Buku Tulis 58 Lembar,Stationery,6000,3200,6,36000,16800,Saldo Tabungan Wadiah Koperasi,12
KOP-20250048,2025-08-09 07:14:00,ANG-1325,Azizah Wijaya,Santri Asrama,PRD-05,Sabun Cuci & Perlengkapan Mandi,Sanitasi & Kebersihan,18000,11000,6,108000,42000,Kartu Santri Smart Card (RFID),12
KOP-20250049,2025-12-17 12:23:00,ANG-1264,Ilham Hakim,Wali Santri / Tamu,PRD-07,Alat Tulis & Buku Tulis 58 Lembar,Stationery,6000,3200,2,12000,5600,Kartu Santri Smart Card (RFID),0
KOP-20250050,2025-06-08 09:59:00,ANG-1755,Hasan Nugroho,Ustadz / Pengajar,PRD-07,Alat Tulis & Buku Tulis 58 Lembar,Stationery,6000,3200,1,6000,2800,Saldo Tabungan Wadiah Koperasi,2
KOP-20250051,2025-09-22 19:38:00,ANG-1229,Ilham Maulana,Santri Asrama,PRD-03,Air Mineral Santri Al-Barakah 600ml,Minuman,3500,2000,2,7000,3000,Tunai,4
KOP-20250052,2025-11-07 14:47:00,ANG-2401,Taufiq Hakim,Karyawan Pesantren,PRD-07,Alat Tulis & Buku Tulis 58 Lembar,Stationery,6000,3200,2,12000,5600,Saldo Tabungan Wadiah Koperasi,4
KOP-20250053,2025-04-06 17:19:00,ANG-538,Muhammad Kusuma,Karyawan Pesantren,PRD-04,Roti Bakar & Snack Halal Pesantren,Makanan Ringan,8000,4500,1,8000,3500,Kartu Santri Smart Card (RFID),2
KOP-20250054,2025-12-21 10:39:00,ANG-1814,Farhan Utami,Karyawan Pesantren,PRD-01,Buku Kitab Kuning & Modul Pelajaran,Pendidikan,45000,28000,4,180000,68000,QRIS Kopontren,8
KOP-20250055,2025-12-20 12:18:00,ANG-1319,Azizah Utami,Santri Asrama,PRD-02,Minyak Wangi Non-Alkohol & Siwak,Ibadah & Sunnah,25000,12000,3,75000,39000,Kartu Santri Smart Card (RFID),6
KOP-20250056,2025-08-29 08:31:00,ANG-1123,Muhammad Saputra,Masyarakat Sekitar,PRD-05,Sabun Cuci & Perlengkapan Mandi,Sanitasi & Kebersihan,18000,11000,1,18000,7000,Tunai,0
KOP-20250057,2025-03-26 14:53:00,ANG-2171,Ilham Saputra,Ustadz / Pengajar,PRD-06,Sarung Tenun & Peci Santri Premium,Pakaian & Busana,95000,60000,6,570000,210000,Saldo Tabungan Wadiah Koperasi,12
KOP-20250058,2025-10-10 08:22:00,ANG-751,Maryam Hakim,Karyawan Pesantren,PRD-06,Sarung Tenun & Peci Santri Premium,Pakaian & Busana,95000,60000,6,570000,210000,Kartu Santri Smart Card (RFID),12
KOP-20250059,2025-11-19 16:43:00,ANG-2298,Azizah Pratama,Santri Asrama,PRD-08,Madu Habbatussauda Murni 250gr,Herbal & Kesehatan,65000,40000,1,65000,25000,Saldo Tabungan Wadiah Koperasi,2
KOP-20250060,2025-08-23 16:22:00,ANG-625,Rania Pratama,Masyarakat Sekitar,PRD-06,Sarung Tenun & Peci Santri Premium,Pakaian & Busana,95000,60000,2,190000,70000,Kartu Santri Smart Card (RFID),0
KOP-20250061,2025-10-13 09:30:00,ANG-964,Umar Nugroho,Karyawan Pesantren,PRD-08,Madu Habbatussauda Murni 250gr,Herbal & Kesehatan,65000,40000,3,195000,75000,Tunai,6
KOP-20250062,2025-07-09 09:20:00,ANG-1228,Ilham Hidayat,Karyawan Pesantren,PRD-02,Minyak Wangi Non-Alkohol & Siwak,Ibadah & Sunnah,25000,12000,1,25000,13000,Kartu Santri Smart Card (RFID),2
KOP-20250063,2025-04-25 18:32:00,ANG-2250,Umar Hakim,Santri Asrama,PRD-04,Roti Bakar & Snack Halal Pesantren,Makanan Ringan,8000,4500,4,32000,14000,Saldo Tabungan Wadiah Koperasi,8
KOP-20250064,2025-12-26 18:26:00,ANG-2147,Hasan Firmansyah,Masyarakat Sekitar,PRD-01,Buku Kitab Kuning & Modul Pelajaran,Pendidikan,45000,28000,4,180000,68000,Tunai,0
KOP-20250065,2025-03-29 11:01:00,ANG-1542,Azizah Nugroho,Wali Santri / Tamu,PRD-06,Sarung Tenun & Peci Santri Premium,Pakaian & Busana,95000,60000,4,380000,140000,Saldo Tabungan Wadiah Koperasi,0
KOP-20250066,2025-10-21 15:34:00,ANG-356,Laila Santoso,Masyarakat Sekitar,PRD-08,Madu Habbatussauda Murni 250gr,Herbal & Kesehatan,65000,40000,3,195000,75000,Kartu Santri Smart Card (RFID),0
KOP-20250067,2025-03-07 12:44:00,ANG-2196,Muhammad Saputra,Santri Asrama,PRD-02,Minyak Wangi Non-Alkohol & Siwak,Ibadah & Sunnah,25000,12000,1,25000,13000,Tunai,2
KOP-20250068,2025-05-23 19:03:00,ANG-1766,Umar Utami,Karyawan Pesantren,PRD-05,Sabun Cuci & Perlengkapan Mandi,Sanitasi & Kebersihan,18000,11000,1,18000,7000,Kartu Santri Smart Card (RFID),2
KOP-20250069,2025-11-15 11:05:00,ANG-2379,Zahra Ramadhan,Karyawan Pesantren,PRD-07,Alat Tulis & Buku Tulis 58 Lembar,Stationery,6000,3200,3,18000,8400,Kartu Santri Smart Card (RFID),6
KOP-20250070,2025-11-25 14:19:00,ANG-1705,Farhan Ramadhan,Ustadz / Pengajar,PRD-08,Madu Habbatussauda Murni 250gr,Herbal & Kesehatan,65000,40000,2,130000,50000,Saldo Tabungan Wadiah Koperasi,4
KOP-20250071,2025-07-25 15:00:00,ANG-843,Maryam Nugroho,Ustadz / Pengajar,PRD-08,Madu Habbatussauda Murni 250gr,Herbal & Kesehatan,65000,40000,12,780000,300000,Saldo Tabungan Wadiah Koperasi,24
KOP-20250072,2025-09-08 08:42:00,ANG-480,Ali Suryono,Santri Asrama,PRD-07,Alat Tulis & Buku Tulis 58 Lembar,Stationery,6000,3200,1,6000,2800,Saldo Tabungan Wadiah Koperasi,2
KOP-20250073,2025-04-01 17:36:00,ANG-2110,Farhan Maulana,Wali Santri / Tamu,PRD-05,Sabun Cuci & Perlengkapan Mandi,Sanitasi & Kebersihan,18000,11000,4,72000,28000,Saldo Tabungan Wadiah Koperasi,0
KOP-20250074,2025-05-30 18:27:00,ANG-2462,Rizky Lestari,Ustadz / Pengajar,PRD-04,Roti Bakar & Snack Halal Pesantren,Makanan Ringan,8000,4500,1,8000,3500,Saldo Tabungan Wadiah Koperasi,2
KOP-20250075,2025-08-15 12:41:00,ANG-970,Zahra Firmansyah,Santri Asrama,PRD-08,Madu Habbatussauda Murni 250gr,Herbal & Kesehatan,65000,40000,1,65000,25000,Tunai,2
KOP-20250076,2025-04-02 07:49:00,ANG-1437,Dina Hakim,Santri Asrama,PRD-07,Alat Tulis & Buku Tulis 58 Lembar,Stationery,6000,3200,1,6000,2800,QRIS Kopontren,2
KOP-20250077,2025-09-27 17:53:00,ANG-1435,Rafi Hidayat,Karyawan Pesantren,PRD-02,Minyak Wangi Non-Alkohol & Siwak,Ibadah & Sunnah,25000,12000,1,25000,13000,QRIS Kopontren,2
KOP-20250078,2025-03-09 07:59:00,ANG-1246,Ibrahim Santoso,Karyawan Pesantren,PRD-05,Sabun Cuci & Perlengkapan Mandi,Sanitasi & Kebersihan,18000,11000,2,36000,14000,Tunai,4
KOP-20250079,2025-06-25 15:33:00,ANG-687,Ali Lestari,Masyarakat Sekitar,PRD-04,Roti Bakar & Snack Halal Pesantren,Makanan Ringan,8000,4500,1,8000,3500,QRIS Kopontren,0
KOP-20250080,2025-06-16 13:42:00,ANG-2475,Hana Hakim,Ustadz / Pengajar,PRD-07,Alat Tulis & Buku Tulis 58 Lembar,Stationery,6000,3200,2,12000,5600,Saldo Tabungan Wadiah Koperasi,4
KOP-20250081,2025-12-29 13:39:00,ANG-892,Rafi Nugroho,Ustadz / Pengajar,PRD-06,Sarung Tenun & Peci Santri Premium,Pakaian & Busana,95000,60000,3,285000,105000,Kartu Santri Smart Card (RFID),6
KOP-20250082,2025-01-22 17:37:00,ANG-130,Nurul Lestari,Ustadz / Pengajar,PRD-01,Buku Kitab Kuning & Modul Pelajaran,Pendidikan,45000,28000,1,45000,17000,QRIS Kopontren,2
KOP-20250083,2025-05-03 15:59:00,ANG-2209,Danang Nugroho,Ustadz / Pengajar,PRD-02,Minyak Wangi Non-Alkohol & Siwak,Ibadah & Sunnah,25000,12000,1,25000,13000,Tunai,2
KOP-20250084,2025-04-08 18:50:00,ANG-768,Azizah Santoso,Wali Santri / Tamu,PRD-04,Roti Bakar & Snack Halal Pesantren,Makanan Ringan,8000,4500,2,16000,7000,Kartu Santri Smart Card (RFID),0
KOP-20250085,2025-03-09 09:59:00,ANG-1592,Safira Kusuma,Ustadz / Pengajar,PRD-04,Roti Bakar & Snack Halal Pesantren,Makanan Ringan,8000,4500,2,16000,7000,Tunai,4
KOP-20250086,2025-01-30 10:31:00,ANG-1013,Hasan Hakim,Ustadz / Pengajar,PRD-01,Buku Kitab Kuning & Modul Pelajaran,Pendidikan,45000,28000,1,45000,17000,Tunai,2
KOP-20250087,2025-01-07 14:34:00,ANG-1273,Salma Maulana,Ustadz / Pengajar,PRD-05,Sabun Cuci & Perlengkapan Mandi,Sanitasi & Kebersihan,18000,11000,1,18000,7000,Kartu Santri Smart Card (RFID),2
KOP-20250088,2025-07-28 17:32:00,ANG-702,Hasan Wijaya,Santri Asrama,PRD-08,Madu Habbatussauda Murni 250gr,Herbal & Kesehatan,65000,40000,2,130000,50000,Kartu Santri Smart Card (RFID),4
KOP-20250089,2025-02-24 11:50:00,ANG-2107,Nisa Utami,Ustadz / Pengajar,PRD-01,Buku Kitab Kuning & Modul Pelajaran,Pendidikan,45000,28000,2,90000,34000,Saldo Tabungan Wadiah Koperasi,4
KOP-20250090,2025-10-24 14:59:00,ANG-1757,Safira Utami,Santri Asrama,PRD-06,Sarung Tenun & Peci Santri Premium,Pakaian & Busana,95000,60000,1,95000,35000,Tunai,2
KOP-20250091,2025-01-02 13:26:00,ANG-602,Nurul Nugroho,Masyarakat Sekitar,PRD-03,Air Mineral Santri Al-Barakah 600ml,Minuman,3500,2000,2,7000,3000,Tunai,0
KOP-20250092,2025-08-09 07:33:00,ANG-1908,Maryam Santoso,Karyawan Pesantren,PRD-05,Sabun Cuci & Perlengkapan Mandi,Sanitasi & Kebersihan,18000,11000,2,36000,14000,Saldo Tabungan Wadiah Koperasi,4
KOP-20250093,2025-05-21 11:44:00,ANG-1718,Farhan Santoso,Santri Asrama,PRD-08,Madu Habbatussauda Murni 250gr,Herbal & Kesehatan,65000,40000,1,65000,25000,Tunai,2
KOP-20250094,2025-07-31 20:07:00,ANG-1260,Ahmad Firmansyah,Karyawan Pesantren,PRD-05,Sabun Cuci & Perlengkapan Mandi,Sanitasi & Kebersihan,18000,11000,2,36000,14000,Saldo Tabungan Wadiah Koperasi,4
KOP-20250095,2025-10-25 20:15:00,ANG-541,Hasan Pratama,Masyarakat Sekitar,PRD-05,Sabun Cuci & Perlengkapan Mandi,Sanitasi & Kebersihan,18000,11000,3,54000,21000,Saldo Tabungan Wadiah Koperasi,0
KOP-20250096,2025-04-13 10:18:00,ANG-1311,Farhan Hakim,Ustadz / Pengajar,PRD-01,Buku Kitab Kuning & Modul Pelajaran,Pendidikan,45000,28000,3,135000,51000,Saldo Tabungan Wadiah Koperasi,6
KOP-20250097,2025-08-22 11:49:00,ANG-2453,Harun Santoso,Masyarakat Sekitar,PRD-01,Buku Kitab Kuning & Modul Pelajaran,Pendidikan,45000,28000,4,180000,68000,Tunai,0
KOP-20250098,2025-07-27 09:16:00,ANG-2452,Taufiq Hidayat,Karyawan Pesantren,PRD-04,Roti Bakar & Snack Halal Pesantren,Makanan Ringan,8000,4500,1,8000,3500,Kartu Santri Smart Card (RFID),2
KOP-20250099,2025-12-02 07:28:00,ANG-900,Ibrahim Ramadhan,Masyarakat Sekitar,PRD-02,Minyak Wangi Non-Alkohol & Siwak,Ibadah & Sunnah,25000,12000,4,100000,52000,Saldo Tabungan Wadiah Koperasi,0
KOP-20250100,2025-01-29 12:29:00,ANG-2174,Umar Suryono,Wali Santri / Tamu,PRD-05,Sabun Cuci & Perlengkapan Mandi,Sanitasi & Kebersihan,18000,11000,1,18000,7000,Kartu Santri Smart Card (RFID),0
KOP-20250101,2025-07-05 21:50:00,ANG-675,Nurul Kusuma,Wali Santri / Tamu,PRD-07,Alat Tulis & Buku Tulis 58 Lembar,Stationery,6000,3200,4,24000,11200,QRIS Kopontren,0
KOP-20250102,2025-07-27 18:23:00,ANG-1272,Nisa Pratama,Santri Asrama,PRD-03,Air Mineral Santri Al-Barakah 600ml,Minuman,3500,2000,1,3500,1500,QRIS Kopontren,2
KOP-20250103,2025-02-27 13:16:00,ANG-2470,Laila Ramadhan,Ustadz / Pengajar,PRD-07,Alat Tulis & Buku Tulis 58 Lembar,Stationery,6000,3200,3,18000,8400,Saldo Tabungan Wadiah Koperasi,6
KOP-20250104,2025-08-02 11:33:00,ANG-2203,Rafi Suryono,Santri Asrama,PRD-07,Alat Tulis & Buku Tulis 58 Lembar,Stationery,6000,3200,1,6000,2800,QRIS Kopontren,2
KOP-20250105,2025-03-16 18:45:00,ANG-2405,Khadijah Pratama,Ustadz / Pengajar,PRD-07,Alat Tulis & Buku Tulis 58 Lembar,Stationery,6000,3200,1,6000,2800,Tunai,2
KOP-20250106,2025-11-17 12:42:00,ANG-1574,Ilham Hidayat,Ustadz / Pengajar,PRD-04,Roti Bakar & Snack Halal Pesantren,Makanan Ringan,8000,4500,3,24000,10500,Tunai,6
KOP-20250107,2025-10-27 13:54:00,ANG-1434,Umar Kusuma,Wali Santri / Tamu,PRD-03,Air Mineral Santri Al-Barakah 600ml,Minuman,3500,2000,2,7000,3000,Tunai,0
KOP-20250108,2025-09-01 12:53:00,ANG-1851,Umar Santoso,Karyawan Pesantren,PRD-07,Alat Tulis & Buku Tulis 58 Lembar,Stationery,6000,3200,6,36000,16800,Tunai,12
KOP-20250109,2025-07-17 08:49:00,ANG-1849,Zaid Maulana,Ustadz / Pengajar,PRD-01,Buku Kitab Kuning & Modul Pelajaran,Pendidikan,45000,28000,1,45000,17000,Kartu Santri Smart Card (RFID),2
KOP-20250110,2025-02-13 16:21:00,ANG-2459,Umar Nugroho,Ustadz / Pengajar,PRD-04,Roti Bakar & Snack Halal Pesantren,Makanan Ringan,8000,4500,1,8000,3500,Tunai,2
KOP-20250111,2025-03-03 13:03:00,ANG-294,Fikri Utami,Masyarakat Sekitar,PRD-04,Roti Bakar & Snack Halal Pesantren,Makanan Ringan,8000,4500,1,8000,3500,Kartu Santri Smart Card (RFID),0
KOP-20250112,2025-06-05 08:35:00,ANG-596,Fikri Santoso,Santri Asrama,PRD-07,Alat Tulis & Buku Tulis 58 Lembar,Stationery,6000,3200,1,6000,2800,Saldo Tabungan Wadiah Koperasi,2
KOP-20250113,2025-12-02 20:03:00,ANG-288,Farhan Nugroho,Masyarakat Sekitar,PRD-02,Minyak Wangi Non-Alkohol & Siwak,Ibadah & Sunnah,25000,12000,2,50000,26000,QRIS Kopontren,0
KOP-20250114,2025-10-03 21:03:00,ANG-803,Rafi Nugroho,Ustadz / Pengajar,PRD-05,Sabun Cuci & Perlengkapan Mandi,Sanitasi & Kebersihan,18000,11000,1,18000,7000,Kartu Santri Smart Card (RFID),2
KOP-20250115,2025-06-02 15:26:00,ANG-2338,Hana Maulana,Santri Asrama,PRD-03,Air Mineral Santri Al-Barakah 600ml,Minuman,3500,2000,2,7000,3000,Saldo Tabungan Wadiah Koperasi,4
KOP-20250116,2025-07-13 21:51:00,ANG-142,Laila Kusuma,Masyarakat Sekitar,PRD-04,Roti Bakar & Snack Halal Pesantren,Makanan Ringan,8000,4500,6,48000,21000,QRIS Kopontren,0
KOP-20250117,2025-07-08 11:03:00,ANG-1131,Nisa Firmansyah,Ustadz / Pengajar,PRD-02,Minyak Wangi Non-Alkohol & Siwak,Ibadah & Sunnah,25000,12000,1,25000,13000,Saldo Tabungan Wadiah Koperasi,2
KOP-20250118,2025-09-01 19:53:00,ANG-1918,Azizah Hidayat,Wali Santri / Tamu,PRD-02,Minyak Wangi Non-Alkohol & Siwak,Ibadah & Sunnah,25000,12000,4,100000,52000,Tunai,0
KOP-20250119,2025-11-29 18:08:00,ANG-1005,Maryam Hakim,Wali Santri / Tamu,PRD-05,Sabun Cuci & Perlengkapan Mandi,Sanitasi & Kebersihan,18000,11000,2,36000,14000,Kartu Santri Smart Card (RFID),0
KOP-20250120,2025-07-21 10:36:00,ANG-1656,Nisa Saputra,Masyarakat Sekitar,PRD-06,Sarung Tenun & Peci Santri Premium,Pakaian & Busana,95000,60000,1,95000,35000,Tunai,0
KOP-20250121,2025-07-16 18:07:00,ANG-2336,Rafi Pratama,Masyarakat Sekitar,PRD-01,Buku Kitab Kuning & Modul Pelajaran,Pendidikan,45000,28000,2,90000,34000,Tunai,0
